woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Aba-Korow,lst_mean,1,27.93992654,0.93003085,13,29.08886800,28.70333100,28.18380600,27.41787800,26.44964600
Aba-Korow,lst_mean,2,27.70709292,0.83973289,12,29.66185800,28.08267925,27.72486400,27.12324325,26.60988100
Aba-Korow,lst_mean,3,28.27099600,0.72153426,12,29.74225100,28.62348500,28.21404850,27.88763925,27.15252000
Aba-Korow,lst_mean,4,28.41524242,0.74048227,12,29.92633100,28.84534650,28.52650600,27.83452500,27.49888100
Aba-Korow,lst_mean,5,28.71254725,0.63676380,12,29.73304800,29.07356975,28.74952750,28.31429400,27.49593700
Aba-Korow,lst_mean,6,29.03345667,0.64387586,12,29.95217200,29.52820375,29.03824850,28.63312175,27.92034200
Aba-Korow,lst_mean,7,29.54018542,0.73322635,12,30.83773900,30.16178600,29.44425900,29.11476850,28.43977500
Aba-Korow,lst_mean,8,30.18807325,0.65581941,12,31.27928700,30.56730050,30.15630650,29.94275250,28.72052200
Aba-Korow,lst_mean,9,30.27862917,0.52881154,12,31.12455800,30.69823150,30.31719250,29.80211475,29.52897700
Aba-Korow,lst_mean,10,30.51564825,0.89406159,12,31.81160400,31.21638950,30.48215300,30.04871950,29.04559500
Aba-Korow,lst_mean,11,30.31023425,1.11347012,12,32.30723600,31.00799950,30.41344950,30.08226225,28.32307500
Aba-Korow,lst_mean,12,29.39234725,2.20355843,12,32.09446000,31.17170100,30.21674200,27.84143050,25.47168500
Aba-Korow,lst_mean,13,30.42940633,1.56731775,12,31.99368000,31.41470975,30.84995300,29.78564000,26.39852500
Aba-Korow,lst_mean,14,29.33359067,1.84773637,12,31.33326500,30.79557350,29.67770600,27.69842625,26.01564800
Aba-Korow,lst_mean,15,28.74171033,2.12559341,12,31.81232100,30.15869375,28.90264750,26.90716575,25.96981700
Aba-Korow,lst_mean,16,28.35845500,2.45261157,12,32.28334100,29.81588725,28.52368300,26.38958225,25.07551000
Aba-Korow,lst_mean,17,26.71254442,1.27426960,12,29.08207200,27.22292950,26.36706450,25.91538500,25.03604200
Aba-Korow,lst_mean,18,26.71689767,1.13829123,12,29.59170700,27.26193775,26.49891000,25.93781050,25.57360700
Aba-Korow,lst_mean,19,27.90452067,1.33084132,12,30.57361300,28.35948625,27.54211900,26.82887125,26.49777400
Aba-Korow,lst_mean,20,28.92339100,1.49929764,12,30.98747800,30.06876525,28.85437650,27.98353825,26.18870600
Aba-Korow,lst_mean,21,28.80237067,1.68574877,12,30.87171900,30.07659625,29.11693350,27.47602050,26.02648900
Aba-Korow,lst_mean,22,29.02513417,0.73723092,12,30.08402000,29.47525075,29.16838700,28.65281725,27.49404300
Aba-Korow,lst_mean,23,28.78003883,0.70506534,12,29.75332500,29.46177450,28.58714800,28.22877025,27.76386400
Aba-Korow,lst_mean,24,28.71064767,0.47721614,12,29.48116400,29.00922750,28.70129250,28.30035725,28.16006100
Aba-Korow,lst_mean,25,28.43436442,0.69009443,12,29.56671000,28.96653075,28.51023700,27.92167675,27.32608000
Aba-Korow,lst_mean,26,28.22189108,0.70272282,12,29.33769500,28.59729975,28.27153750,27.97947775,26.93714700
Aba-Korow,lst_mean,27,28.02453800,0.77516142,12,29.41151900,28.49239675,28.07597300,27.55278175,26.58428100
Aba-Korow,lst_mean,28,27.85088192,1.00539711,12,29.22375300,28.44170800,28.26980800,27.31525200,25.85926600
Aba-Korow,lst_mean,29,27.74464900,0.62588126,12,28.72719900,28.22745125,27.79365600,27.28281800,26.82620400
Aba-Korow,lst_mean,30,27.86298950,0.91526441,12,29.16504400,28.25449625,27.96779300,27.64120475,25.47601400
Aba-Korow,lst_mean,31,28.07789100,0.68829255,12,28.83568600,28.65710200,28.21085950,27.69756375,26.54457100
Aba-Korow,lst_mean,32,28.32479342,0.55485166,12,29.36893700,28.62734725,28.38244350,28.01445650,27.14666700
Aba-Korow,lst_mean,33,28.58715133,0.54737314,12,29.25962800,28.93941250,28.72527300,28.34594875,27.71912900
Aba-Korow,lst_mean,34,28.81001125,0.83235214,12,30.50815600,29.47610825,28.55455650,28.31398975,27.79001700
Aba-Korow,lst_mean,35,28.93841392,0.59263571,12,29.78517400,29.34201350,28.97953350,28.69057050,27.70588500
Aba-Korow,lst_mean,36,29.25057783,0.46094221,12,30.20716500,29.46678500,29.31965800,29.04950975,28.35237600
Aba-Korow,lst_mean,37,29.62045633,0.37869925,12,30.07242800,29.89638825,29.72735550,29.25833725,28.96843200
Aba-Korow,lst_mean,38,29.56690867,0.54707653,12,30.31150000,29.92094600,29.62571100,29.27335275,28.38754300
Aba-Korow,lst_mean,39,29.83820475,0.51750113,12,30.53945900,30.15608000,30.02666300,29.53443775,28.98346700
Aba-Korow,lst_mean,40,28.92544783,1.34683800,12,30.60316500,29.89432925,29.12473550,28.24051850,25.97105200
Aba-Korow,lst_mean,41,28.31321325,1.90107482,12,30.34915900,29.85223125,29.04546600,26.59315325,24.74317000
Aba-Korow,lst_mean,42,27.49550067,2.01075997,12,30.98751600,28.93211875,27.59744700,25.31212800,25.10453000
