woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Abargelie,evi,1,0.124396987,0.008435895,18,0.143156721,0.128508007,0.121598551,0.119308083,0.109188655
Abargelie,evi,2,0.122697888,0.008367386,17,0.141691825,0.127447884,0.119004342,0.117543577,0.108676012
Abargelie,evi,3,0.121037387,0.008009271,17,0.138819007,0.125826781,0.117428226,0.116454101,0.107239053
Abargelie,evi,4,0.119324041,0.007871423,17,0.136158366,0.1247317,0.115873091,0.11452344,0.105832587
Abargelie,evi,5,0.117693073,0.007653731,17,0.133890768,0.123218108,0.11464261,0.113725819,0.10477439
Abargelie,evi,6,0.116745177,0.007390985,17,0.13288101,0.121400087,0.113290101,0.113043465,0.103749626
Abargelie,evi,7,0.115818716,0.007233633,17,0.132085997,0.120105397,0.112995202,0.111582989,0.103235727
Abargelie,evi,8,0.114831634,0.007060059,17,0.130784331,0.119266805,0.112955304,0.111026542,0.102228134
Abargelie,evi,9,0.114471337,0.00691368,17,0.130589192,0.118511662,0.111762451,0.11081615,0.101250056
Abargelie,evi,10,0.114402638,0.006564378,17,0.129570105,0.118396254,0.111973875,0.11063441,0.100887296
Abargelie,evi,11,0.114229458,0.006088593,17,0.128637458,0.117516728,0.113677929,0.111311683,0.100502992
Abargelie,evi,12,0.114425331,0.006963345,17,0.131811634,0.117968065,0.113698832,0.111102637,0.09962619
Abargelie,evi,13,0.114739216,0.006631953,17,0.130490154,0.119495083,0.112310742,0.111366207,0.09992968
Abargelie,evi,14,0.115752785,0.006747459,17,0.134510657,0.118733176,0.1132293,0.112010443,0.104477083
Abargelie,evi,15,0.116143765,0.008060171,17,0.138402203,0.120709965,0.11405322,0.111406594,0.103047763
Abargelie,evi,16,0.116484726,0.008584668,17,0.138552054,0.120661107,0.114163086,0.111310332,0.103731282
Abargelie,evi,17,0.116615542,0.008296397,17,0.136090367,0.122448804,0.114108835,0.110786878,0.107050882
Abargelie,evi,18,0.117590523,0.008345732,17,0.13273113,0.121609356,0.115882036,0.110766349,0.108223629
Abargelie,evi,19,0.116561128,0.00814404,17,0.130361974,0.123395726,0.114412384,0.109865465,0.107234057
Abargelie,evi,20,0.116396171,0.009438791,17,0.141420861,0.11982091,0.114016221,0.110833923,0.105762146
Abargelie,evi,21,0.11543822,0.011371532,17,0.151455842,0.118729012,0.114491197,0.109170953,0.102761577
Abargelie,evi,22,0.112037109,0.01153371,17,0.144411836,0.117265665,0.112964704,0.101657812,0.097399985
Abargelie,evi,23,0.10882386,0.010939215,17,0.142884459,0.112751173,0.108599737,0.103367005,0.094403157
Abargelie,evi,24,0.104605777,0.011740446,17,0.139926174,0.107533356,0.105089585,0.097199518,0.084443016
Abargelie,evi,25,0.105681385,0.008487479,17,0.12580135,0.108463702,0.103638925,0.098806526,0.096599895
Abargelie,evi,26,0.108152867,0.007885371,17,0.122183291,0.113414731,0.108963894,0.104761462,0.091416738
Abargelie,evi,27,0.116963924,0.016721527,17,0.159269042,0.121640817,0.116263957,0.108968462,0.080186389
Abargelie,evi,28,0.131530181,0.026409466,17,0.185230067,0.142339347,0.125173173,0.117462832,0.082072867
Abargelie,evi,29,0.141490948,0.024203545,17,0.188971749,0.158345396,0.13242825,0.128316751,0.10621945
Abargelie,evi,30,0.165603567,0.035215446,17,0.240614837,0.176798177,0.162545153,0.143324137,0.107344793
Abargelie,evi,31,0.173511494,0.040549359,17,0.24952128,0.189083553,0.176532413,0.155043579,0.101169083
Abargelie,evi,32,0.200437801,0.051555423,17,0.28317695,0.242758197,0.196544571,0.174110771,0.093383643
Abargelie,evi,33,0.229698388,0.037290125,17,0.283430102,0.25079681,0.235242749,0.203774838,0.163997992
Abargelie,evi,34,0.247973301,0.024797203,17,0.291798699,0.266908422,0.247025868,0.235540674,0.200063631
Abargelie,evi,35,0.262287548,0.023501036,17,0.301506721,0.281439444,0.263472959,0.236479459,0.228116597
Abargelie,evi,36,0.271426215,0.025553292,17,0.313558751,0.293283093,0.278656861,0.247593012,0.230561908
Abargelie,evi,37,0.269999299,0.021568747,17,0.299260432,0.289752805,0.271199306,0.25631391,0.229766022
Abargelie,evi,38,0.253369191,0.020287008,17,0.28001378,0.272117817,0.250876871,0.23946898,0.215905269
Abargelie,evi,39,0.225568907,0.020842137,17,0.262302172,0.241330784,0.225426995,0.211632072,0.194176898
Abargelie,evi,40,0.203657643,0.016972559,17,0.240770392,0.21264931,0.201550835,0.191093493,0.176469786
Abargelie,evi,41,0.187864904,0.015482454,17,0.217751227,0.198231803,0.185094371,0.178921219,0.161379162
Abargelie,evi,42,0.174209458,0.013370514,17,0.198976367,0.1801619,0.169728432,0.167453756,0.152879855
Abargelie,evi,43,0.163921581,0.012731141,17,0.187797772,0.170041595,0.160497312,0.157406941,0.139655529
Abargelie,evi,44,0.156659629,0.011913011,17,0.178186142,0.161970437,0.153481608,0.150457411,0.133547064
Abargelie,evi,45,0.150659759,0.011557716,17,0.171969676,0.155767866,0.147639937,0.144427571,0.128846574
Abargelie,evi,46,0.145471473,0.010876379,17,0.166084332,0.150467686,0.14360642,0.139117402,0.125308658
Abargelie,evi,47,0.141123938,0.010333609,17,0.159934549,0.146932349,0.139779896,0.134542979,0.121791967
Abargelie,evi,48,0.137093252,0.009852657,17,0.155134426,0.142604468,0.136257282,0.130305154,0.118501293
Abargelie,evi,49,0.133611971,0.009257789,17,0.151257258,0.13787267,0.132538804,0.127728939,0.115929817
Abargelie,evi,50,0.130494131,0.008658275,17,0.145849599,0.132651657,0.128970655,0.124879852,0.113669844
Abargelie,evi,51,0.127963556,0.008151022,17,0.143012107,0.128216945,0.126147456,0.122954095,0.112245151
Abargelie,evi,52,0.125578835,0.007619646,17,0.140565274,0.125974485,0.123726476,0.121998959,0.110595504
Abargelie,evi,53,0.116760398,0.00649461,3,0.120978838,0.120499851,0.120020865,0.114651178,0.109281492
Abargelie,lst_day,1,35.04404419,0.97038688,18,36.23758162,35.79814646,35.29362621,34.54516464,33.27279701
Abargelie,lst_day,2,34.94701762,0.90120471,17,36.50510385,35.43882207,34.77304283,34.28308125,33.5601127
Abargelie,lst_day,3,35.23721161,0.962672912,17,37.18520368,35.76656536,35.15324102,34.87627566,33.12243505
Abargelie,lst_day,4,36.33319116,0.6753594,17,37.43211262,36.7702324,36.50323312,36.11781251,35.05642079
Abargelie,lst_day,5,37.2481117,1.020413851,17,39.47073823,37.62720882,37.12169334,36.85457089,35.33689449
Abargelie,lst_day,6,37.8075883,0.967992334,17,39.67953633,38.4986706,37.67343988,37.24311987,36.49900986
Abargelie,lst_day,7,38.55354478,1.366066168,17,40.36467471,39.58830722,38.66997725,38.29081149,35.90216526
Abargelie,lst_day,8,39.50258279,1.721582026,17,42.84424152,40.42491639,39.67626638,39.11878282,35.05480842
Abargelie,lst_day,9,40.39395254,1.513785586,17,43.63379039,41.05643029,40.25969216,39.62391121,38.07602026
Abargelie,lst_day,10,40.69598447,1.431159921,17,43.5778125,41.78349121,40.3207887,39.58114948,38.53638616
Abargelie,lst_day,11,41.19438576,1.601179784,17,44.31845626,42.05590335,41.12003244,40.7753001,37.18511762
Abargelie,lst_day,12,41.65999076,1.169456428,17,43.54695073,42.45358385,41.50966159,40.58297288,39.63267045
Abargelie,lst_day,13,42.34418052,1.485363782,17,44.91156261,43.05344271,42.3855074,41.50776109,39.34894681
Abargelie,lst_day,14,42.46630919,1.439913017,17,45.10681881,43.31046029,42.5762696,41.39954545,39.90205482
Abargelie,lst_day,15,42.40900678,1.684933294,17,44.86165579,44.03981864,42.18553872,40.93709552,39.65304975
