pcode,region,zone,woreda_name,report
ET140108,Addis Ababa,Region 14,Addis Ketema Sub City,1
ET140101,Addis Ababa,Region 14,Akaki Kality Sub City,1
ET140109,Addis Ababa,Region 14,Arada Sub City,1
ET140104,Addis Ababa,Region 14,Bole Sub City,1
ET140110,Addis Ababa,Region 14,Gulele Sub City,1
ET140106,Addis Ababa,Region 14,Kirkos Sub City,1
ET140103,Addis Ababa,Region 14,Kolfe Keraniyo Sub City,1
ET140111,Addis Ababa,Region 14,Lemi Kura Sub City,1
ET140105,Addis Ababa,Region 14,Lideta Sub City,1
ET140102,Addis Ababa,Region 14,Nifas Silk Lafto Sub City,1
ET140107,Addis Ababa,Region 14,Yeka Sub City,1
ET020109,Afar,Awsi /Zone 1,Adar,1
ET020104,Afar,Awsi /Zone 1,Afambo,1
ET020103,Afar,Awsi /Zone 1,Asayita,1
ET020111,Afar,Awsi /Zone 1,Asayita town,1
ET020106,Afar,Awsi /Zone 1,Chifra,1
ET020113,Afar,Awsi /Zone 1,Chifra town,1
ET020101,Afar,Awsi /Zone 1,Dubti,1
ET020107,Afar,Awsi /Zone 1,Dubti town,1
ET020102,Afar,Awsi /Zone 1,Elidar,1
ET020108,Afar,Awsi /Zone 1,Kori,1
ET020105,Afar,Awsi /Zone 1,Mile,1
ET020112,Afar,Awsi /Zone 1,Mile town,1
ET020198,Afar,Awsi /Zone 1,Samera Logiya town,1
ET020401,Afar,Fanti /Zone 4,Awra (AF),1
ET020402,Afar,Fanti /Zone 4,Euwa,1
ET020405,Afar,Fanti /Zone 4,Gulina,1
ET020406,Afar,Fanti /Zone 4,Mabay,1
ET020403,Afar,Fanti /Zone 4,Teru,1
ET020404,Afar,Fanti /Zone 4,Yalo,1
ET020308,Afar,Gabi /Zone 3,Abida,1
ET020301,Afar,Gabi /Zone 3,Amibara,1
ET020306,Afar,Gabi /Zone 3,Arguba,1
ET020302,Afar,Gabi /Zone 3,Awash Fantale,1
ET020396,Afar,Gabi /Zone 3,Awash town,1
ET020309,Afar,Gabi /Zone 3,Borimodaytu,1
ET020304,Afar,Gabi /Zone 3,Dulecha,1
ET020305,Afar,Gabi /Zone 3,Gala'alu,1
ET020303,Afar,Gabi /Zone 3,Gewane,1
ET020307,Afar,Gabi /Zone 3,Hanruka,1
ET020310,Afar,Gabi /Zone 3,Werer,1
ET020504,Afar,Hari /Zone 5,Dalefage,1
ET020503,Afar,Hari /Zone 5,Dawe,1
ET020505,Afar,Hari /Zone 5,Hadelela,1
ET020502,Afar,Hari /Zone 5,Samurobi,1
ET020501,Afar,Hari /Zone 5,Telalek,1
ET020203,Afar,Kilbati /Zone 2,Abaala,1
ET020209,Afar,Kilbati /Zone 2,Abaala town,1
ET020207,Afar,Kilbati /Zone 2,Afdera,1
ET020205,Afar,Kilbati /Zone 2,Berahile,1
ET020208,Afar,Kilbati /Zone 2,Bidu,1
ET020206,Afar,Kilbati /Zone 2,Dalol,1
ET020201,Afar,Kilbati /Zone 2,Erebti,1
ET020202,Afar,Kilbati /Zone 2,Kunneba,1
ET020204,Afar,Kilbati /Zone 2,Megale,1
ET020210,Afar,Kilbati /Zone 2,Wasama,1
ET020601,Afar,Mahi /Zone 6,Gerani,1
ET020602,Afar,Mahi /Zone 6,Kilalu,1
ET020604,Afar,Mahi /Zone 6,Sibaybi,1
ET020603,Afar,Mahi /Zone 6,Yangudi,1
ET030910,Amhara,Awi,Adiss Kidame town,1
ET030909,Amhara,Awi,Agew Gimija Bet town,1
ET030903,Amhara,Awi,Ankasha,1
ET030908,Amhara,Awi,Ayehu Guwagusa,1
ET030902,Amhara,Awi,Banja,1
ET030999,Amhara,Awi,Chagni town,1
ET030901,Amhara,Awi,Dangila,1
ET030998,Amhara,Awi,Dangila town,1
ET030905,Amhara,Awi,Fagta Lakoma,1
ET030912,Amhara,Awi,Fendika town,1
ET030907,Amhara,Awi,Guagusa Shikudad,1
ET030904,Amhara,Awi,Guangua,1
ET030996,Amhara,Awi,Injibara town,1
ET030906,Amhara,Awi,Jawi,1
ET030911,Amhara,Awi,Tilili town,1
ET030997,Amhara,Awi,Zigem town,1
ET031401,Amhara,Bahir Dar town Admin,Bahir Dar town,1
ET031404,Amhara,Bahir Dar town Admin,Deq,1
ET031405,Amhara,Bahir Dar town Admin,Meshenti town,1
ET031406,Amhara,Bahir Dar town Admin,Tis Abay town,1
ET031403,Amhara,Bahir Dar town Admin,Zege town,1
ET031115,Amhara,Central Gondar,Alefa,1
ET031103,Amhara,Central Gondar,Amba Giorgis town,1
ET031199,Amhara,Central Gondar,Aykel town,1
ET031106,Amhara,Central Gondar,Chilga 1,1
ET031112,Amhara,Central Gondar,Chilga 2,1
ET031117,Amhara,Central Gondar,East Belesa,1
ET031111,Amhara,Central Gondar,East Dembia,1
ET031118,Amhara,Central Gondar,Gondar town,1
ET031110,Amhara,Central Gondar,Gonder Zuria,1
ET031122,Amhara,Central Gondar,Kinfaz Begela,1
ET031105,Amhara,Central Gondar,Kolla Debba town,1
ET031108,Amhara,Central Gondar,Lay Armacho,1
ET031119,Amhara,Central Gondar,Masero Denb /Central Armacho,1
ET031104,Amhara,Central Gondar,Shawra town,1
ET031120,Amhara,Central Gondar,Tach Armacho,1
ET031121,Amhara,Central Gondar,Takusa,1
ET031107,Amhara,Central Gondar,Tegede,1
ET031109,Amhara,Central Gondar,Wegera,1
ET031116,Amhara,Central Gondar,West Belesa,1
ET031125,Amhara,Central Gondar,West Dembiya,1
ET030618,Amhara,East Gojam,Amanuel town,1
ET030617,Amhara,East Gojam,Aneded,1
ET030612,Amhara,East Gojam,Awabel,1
ET030611,Amhara,East Gojam,Baso Liben,1
ET030699,Amhara,East Gojam,Bechena town,1
ET030601,Amhara,East Gojam,Bibugn,1
ET030607,Amhara,East Gojam,Debay Telatgen,1
ET030608,Amhara,East Gojam,Debre Elias,1
ET030615,Amhara,East Gojam,Debre Markos town,1
ET030621,Amhara,East Gojam,Debrework town,1
ET030613,Amhara,East Gojam,Dejen,1
ET030698,Amhara,East Gojam,Dejen town,1
ET030605,Amhara,East Gojam,Enarj Enawga,1
ET030604,Amhara,East Gojam,Enebse Sarmder,1
