old_adm3_pcode,new_adm3_pcode,share_of_old,share_of_new,intersection_km2,old_adm3_name,new_adm3_name,likely_change_type
ET010504,ET990101,1,0.139265,14.462336,Setit Humera,Setit Humera town,likely_merge_many_old_to_new
ET011063,ET010701,1,0.037783,5.535343,Kuha,Kuiha Sub City,likely_merge_many_old_to_new
ET0201011,ET020108,1,1,2868.541625,Kurri,Kori,one_to_one_redraw_or_recode
ET0202071,ET020208,1,1,6985.8938,Bidu,Bidu,one_to_one_redraw_or_recode
ET020305,ET020309,1,1,792.470187,Gelealo,Borimodaytu,one_to_one_redraw_or_recode
ET030701,ET031301,1,0.919781,1151.933333,Semen Achefer,Semen Achefer,one_to_one_redraw_or_recode
ET030712,ET031401,1,0.810383,213.439371,Bahir Dar Town,Bahir Dar town,one_to_one_redraw_or_recode
ET030718,ET031307,1,1,633.914834,Gonje,Gonje,one_to_one_redraw_or_recode
ET031122O,ET031122,1,1,1782.448683,Kinfaz,Kinfaz Begela,one_to_one_redraw_or_recode
ET040199O,ET040199,1,1,26.962371,Nejo Town,Nejo town,one_to_one_redraw_or_recode
ET040401O,ET040418,1,1,91.592975,Jimma/Town/,Jimma town,one_to_one_redraw_or_recode
ET040799O,ET040799,1,1,5.696294,Metehara Town,Metehara town,one_to_one_redraw_or_recode
ET040894O,ET040894,1,0.126923,4.405847,Bekoji Town,Bokoji town,likely_merge_many_old_to_new
ET041001O,ET041019,1,0.015813,5.630867,Haromaya Town,Maya town,likely_merge_many_old_to_new
ET041107,ET042102,1,1,4777.453156,Lege Hida,Lege Hida,one_to_one_redraw_or_recode
ET041108,ET042103,1,0.994591,2329.510192,Ginir,Ginir,one_to_one_redraw_or_recode
ET041117,ET042104,1,0.97223,5039.453293,Rayitu,Rayitu,one_to_one_redraw_or_recode
ET041121,ET042106,1,1,1689.574946,Dawe Ketchen,Dawe Ketchen,one_to_one_redraw_or_recode
ET041198,ET042107,1,1,34.831495,Ginir Town,Ginir town,one_to_one_redraw_or_recode
