adm3_pcode,adm3_name,adm2_name,adm1_name
ET140108,Addis Ketema Sub City,Region 14,Addis Ababa
ET140101,Akaki Kality Sub City,Region 14,Addis Ababa
ET140109,Arada Sub City,Region 14,Addis Ababa
ET140104,Bole Sub City,Region 14,Addis Ababa
ET140110,Gulele Sub City,Region 14,Addis Ababa
ET140106,Kirkos Sub City,Region 14,Addis Ababa
ET140103,Kolfe Keraniyo Sub City,Region 14,Addis Ababa
ET140111,Lemi Kura Sub City,Region 14,Addis Ababa
ET140105,Lideta Sub City,Region 14,Addis Ababa
ET140102,Nifas Silk Lafto Sub City,Region 14,Addis Ababa
ET140107,Yeka Sub City,Region 14,Addis Ababa
ET020109,Adar,Awsi /Zone 1,Afar
ET020104,Afambo,Awsi /Zone 1,Afar
ET020103,Asayita,Awsi /Zone 1,Afar
ET020111,Asayita town,Awsi /Zone 1,Afar
ET020106,Chifra,Awsi /Zone 1,Afar
ET020113,Chifra town,Awsi /Zone 1,Afar
ET020101,Dubti,Awsi /Zone 1,Afar
ET020107,Dubti town,Awsi /Zone 1,Afar
ET020102,Elidar,Awsi /Zone 1,Afar
ET020108,Kori,Awsi /Zone 1,Afar
ET020105,Mile,Awsi /Zone 1,Afar
ET020112,Mile town,Awsi /Zone 1,Afar
ET020198,Samera Logiya town,Awsi /Zone 1,Afar
ET020401,Awra (AF),Fanti /Zone 4,Afar
ET020402,Euwa,Fanti /Zone 4,Afar
ET020405,Gulina,Fanti /Zone 4,Afar
ET020406,Mabay,Fanti /Zone 4,Afar
ET020403,Teru,Fanti /Zone 4,Afar
ET020404,Yalo,Fanti /Zone 4,Afar
ET020308,Abida,Gabi /Zone 3,Afar
ET020301,Amibara,Gabi /Zone 3,Afar
ET020306,Arguba,Gabi /Zone 3,Afar
ET020302,Awash Fantale,Gabi /Zone 3,Afar
ET020396,Awash town,Gabi /Zone 3,Afar
ET020309,Borimodaytu,Gabi /Zone 3,Afar
ET020304,Dulecha,Gabi /Zone 3,Afar
ET020305,Gala'alu,Gabi /Zone 3,Afar
ET020303,Gewane,Gabi /Zone 3,Afar
ET020307,Hanruka,Gabi /Zone 3,Afar
ET020310,Werer,Gabi /Zone 3,Afar
ET020504,Dalefage,Hari /Zone 5,Afar
ET020503,Dawe,Hari /Zone 5,Afar
ET020505,Hadelela,Hari /Zone 5,Afar
ET020502,Samurobi,Hari /Zone 5,Afar
ET020501,Telalek,Hari /Zone 5,Afar
ET020203,Abaala,Kilbati /Zone 2,Afar
ET020209,Abaala town,Kilbati /Zone 2,Afar
ET020207,Afdera,Kilbati /Zone 2,Afar
ET020205,Berahile,Kilbati /Zone 2,Afar
ET020208,Bidu,Kilbati /Zone 2,Afar
ET020206,Dalol,Kilbati /Zone 2,Afar
ET020201,Erebti,Kilbati /Zone 2,Afar
ET020202,Kunneba,Kilbati /Zone 2,Afar
ET020204,Megale,Kilbati /Zone 2,Afar
ET020210,Wasama,Kilbati /Zone 2,Afar
ET020601,Gerani,Mahi /Zone 6,Afar
ET020602,Kilalu,Mahi /Zone 6,Afar
ET020604,Sibaybi,Mahi /Zone 6,Afar
ET020603,Yangudi,Mahi /Zone 6,Afar
ET030910,Adiss Kidame town,Awi,Amhara
ET030909,Agew Gimija Bet town,Awi,Amhara
ET030903,Ankasha,Awi,Amhara
ET030908,Ayehu Guwagusa,Awi,Amhara
ET030902,Banja,Awi,Amhara
ET030999,Chagni town,Awi,Amhara
ET030901,Dangila,Awi,Amhara
ET030998,Dangila town,Awi,Amhara
ET030905,Fagta Lakoma,Awi,Amhara
ET030912,Fendika town,Awi,Amhara
ET030907,Guagusa Shikudad,Awi,Amhara
ET030904,Guangua,Awi,Amhara
ET030996,Injibara town,Awi,Amhara
ET030906,Jawi,Awi,Amhara
ET030911,Tilili town,Awi,Amhara
ET030997,Zigem town,Awi,Amhara
ET031401,Bahir Dar town,Bahir Dar town Admin,Amhara
ET031404,Deq,Bahir Dar town Admin,Amhara
ET031405,Meshenti town,Bahir Dar town Admin,Amhara
ET031406,Tis Abay town,Bahir Dar town Admin,Amhara
ET031403,Zege town,Bahir Dar town Admin,Amhara
ET031115,Alefa,Central Gondar,Amhara
ET031103,Amba Giorgis town,Central Gondar,Amhara
ET031199,Aykel town,Central Gondar,Amhara
ET031106,Chilga 1,Central Gondar,Amhara
ET031112,Chilga 2,Central Gondar,Amhara
ET031117,East Belesa,Central Gondar,Amhara
ET031111,East Dembia,Central Gondar,Amhara
ET031118,Gondar town,Central Gondar,Amhara
ET031110,Gonder Zuria,Central Gondar,Amhara
ET031122,Kinfaz Begela,Central Gondar,Amhara
ET031105,Kolla Debba town,Central Gondar,Amhara
ET031108,Lay Armacho,Central Gondar,Amhara
ET031119,Masero Denb /Central Armacho,Central Gondar,Amhara
ET031104,Shawra town,Central Gondar,Amhara
ET031120,Tach Armacho,Central Gondar,Amhara
ET031121,Takusa,Central Gondar,Amhara
ET031107,Tegede,Central Gondar,Amhara
ET031109,Wegera,Central Gondar,Amhara
ET031116,West Belesa,Central Gondar,Amhara
ET031125,West Dembiya,Central Gondar,Amhara
ET030618,Amanuel town,East Gojam,Amhara
ET030617,Aneded,East Gojam,Amhara
ET030612,Awabel,East Gojam,Amhara
ET030611,Baso Liben,East Gojam,Amhara
ET030699,Bechena town,East Gojam,Amhara
ET030601,Bibugn,East Gojam,Amhara
ET030607,Debay Telatgen,East Gojam,Amhara
ET030608,Debre Elias,East Gojam,Amhara
ET030615,Debre Markos town,East Gojam,Amhara
ET030621,Debrework town,East Gojam,Amhara
ET030613,Dejen,East Gojam,Amhara
ET030698,Dejen town,East Gojam,Amhara
ET030605,Enarj Enawga,East Gojam,Amhara
ET030604,Enebse Sarmder,East Gojam,Amhara
ET030606,Enemay,East Gojam,Amhara
ET030603,Goncha Siso Enebse,East Gojam,Amhara
ET030620,Gundwoin town,East Gojam,Amhara
ET030610,Guzamn,East Gojam,Amhara
ET030602,Hulet Ej Enese,East Gojam,Amhara
ET030622,Lumame town,East Gojam,Amhara
ET030623,Merto Lemariyam town,East Gojam,Amhara
ET030609,Michakel,East Gojam,Amhara
ET030694,Mota town,East Gojam,Amhara
ET030619,Sedae,East Gojam,Amhara
ET030616,Senan,East Gojam,Amhara
ET030614,Shebel Bernta,East Gojam,Amhara
ET031309,Adete town,North Gojam,Amhara
ET031310,Bahir Dar Zuria,North Gojam,Amhara
ET031305,Debub Achefer,North Gojam,Amhara
ET031306,Debub Mecha,North Gojam,Amhara
ET031308,Dure Bete,North Gojam,Amhara
ET031307,Gonje,North Gojam,Amhara
ET031304,Mecha,North Gojam,Amhara
ET031302,Merawi town,North Gojam,Amhara
ET031301,Semen Achefer,North Gojam,Amhara
ET031303,Yilmana Densa,North Gojam,Amhara
ET030101,Addi Arekay,North Gondar,Amhara
ET030102,Beyeda,North Gondar,Amhara
ET030105,Dabat,North Gondar,Amhara
ET030106,Dabat town,North Gondar,Amhara
ET030104,Debark,North Gondar,Amhara
ET030198,Debark town,North Gondar,Amhara
ET030103,Janamora,North Gondar,Amhara
ET030119,Telemt,North Gondar,Amhara
ET030599,Aleme Ketma town,North Shewa (AM),Amhara
ET030513,Angolelana Tera,North Shewa (AM),Amhara
ET030515,Ankober,North Shewa (AM),Amhara
