NewPCODE,R_NAME,Z_NAME,W_NAME,lon,lat
ET140108,Addis Ababa,Region 14,Addis Ketema,470088.1282,998712.4343
ET140101,Addis Ababa,Region 14,Akaki - Kalit,478520.538,983493.5774
ET140109,Addis Ababa,Region 14,Arada,473275.6366,998902.0254
ET140104,Addis Ababa,Region 14,Bole,482310.1089,992675.6095
ET140110,Addis Ababa,Region 14,Gulele,471884.0726,1002717.921
ET140106,Addis Ababa,Region 14,Kirkos,473591.6459,995006.4221
ET140103,Addis Ababa,Region 14,Kolfe - Keran,465699.332,995928.5287
ET140105,Addis Ababa,Region 14,Lideta,470553.76,996329.4493
ET140102,Addis Ababa,Region 14,Nefas Silk,470377.8584,989682.9114
ET140107,Addis Ababa,Region 14,Yeka,481122.7616,1000360.361
ET0201051,Afar,Zone 1 (Awsi Rasu),Adaa'r,656453.1147,1246181.165
ET020104,Afar,Zone 1 (Awsi Rasu),Afambo,793056.1941,1250567.68
ET020103,Afar,Zone 1 (Awsi Rasu),Asayita,769741.7939,1278460.301
ET020106,Afar,Zone 1 (Awsi Rasu),Chifra,633800.2546,1280904.859
ET020101OU001,Afar,Zone 1 (Awsi Rasu),Dubti,727030.3256,1295713.802
ET020102,Afar,Zone 1 (Awsi Rasu),Elidar,799702.7174,1362126.614
ET0201011,Afar,Zone 1 (Awsi Rasu),Kurri,715207.4218,1376190.183
ET020198,Afar,Zone 1 (Awsi Rasu),Logiya-Semera,715224.8098,1300328.787
ET020105,Afar,Zone 1 (Awsi Rasu),Mile,705977.7114,1256188.018
ET020203,Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,593360.6379,1477922.009
ET020207,Afar,Zone 2 (Kilbet Rasu),Afdera,685688.4493,1498224.402
ET020205,Afar,Zone 2 (Kilbet Rasu),Berahile,627514.1564,1543727.799
ET0202071,Afar,Zone 2 (Kilbet Rasu),Bidu,758114.7553,1438717.17
ET020206,Afar,Zone 2 (Kilbet Rasu),Dalol,614954.0764,1579742.147
ET020201,Afar,Zone 2 (Kilbet Rasu),Erebti,624522.2558,1452995.458
ET020202,Afar,Zone 2 (Kilbet Rasu),Kunneba,596917.4419,1547331.77
ET020204,Afar,Zone 2 (Kilbet Rasu),Megale,604653.1763,1415526.593
ET020301,Afar,Zone 3 (Gabi Rasu),Amibara,655684.3622,1050497.225
ET020306,Afar,Zone 3 (Gabi Rasu),Arguba Special,595562.9192,1049322.071
ET020396,Afar,Zone 3 (Gabi Rasu),Awash City,628594.9082,994712.2722
ET020302,Afar,Zone 3 (Gabi Rasu),Awash Fentale,612699.1827,1005754.359
ET020304,Afar,Zone 3 (Gabi Rasu),Dulecha,616234.6952,1048796.026
ET020305,Afar,Zone 3 (Gabi Rasu),Gelealo,660966.4692,1119709.138
ET020303,Afar,Zone 3 (Gabi Rasu),Gewane,693216.349,1159848.158
ET020401,Afar,Zone 4  (Fantana Rasu),Awra,643275.5189,1332311.489
ET020402,Afar,Zone 4  (Fantana Rasu),Ewa,628469.0523,1306588.043
ET020405,Afar,Zone 4  (Fantana Rasu),Gulina,606850.0264,1346759.958
ET020403,Afar,Zone 4  (Fantana Rasu),Teru,657644.6684,1390260.195
ET020404,Afar,Zone 4  (Fantana Rasu),Yalo,602344.3813,1373644.979
ET020504,Afar,Zone 5 (Hari Rasu),Dalifage,649428.605,1163097.294
ET020503,Afar,Zone 5 (Hari Rasu),Dewe,640625.5557,1185262.817
ET020505,Afar,Zone 5 (Hari Rasu),Hadelela,640507.1698,1135860.782
ET020502,Afar,Zone 5 (Hari Rasu),Samurobi Gele'alo,625522.3373,1091681.508
ET020501,Afar,Zone 5 (Hari Rasu),Telalak,643723.7477,1213576.042
ET030903OU002,Amhara,Awi,Ankasha,258391.2891,1190371.966
ET030902,Amhara,Awi,Banja,271726.4553,1213641.937
ET030999,Amhara,Awi,Chagni Town,227584.1961,1212436.494
ET030901,Amhara,Awi,Dangila,256581.6082,1241992.52
ET030998,Amhara,Awi,Dangila Town,264805.6957,1245896.443
ET030905,Amhara,Awi,Fagta Lakoma,270353.6462,1226171.701
ET030907,Amhara,Awi,Guagusa Shikudad,284194.1026,1197618.503
ET030904,Amhara,Awi,Guangua,226942.0631,1192805.554
ET030996,Amhara,Awi,Injibara Town,273307.5391,1213192.961
ET030906,Amhara,Awi,Jawi,217353.4117,1295689.006
ET030997,Amhara,Awi,Zigem,225721.3684,1185255.285
ET031115,Amhara,Central Gondar,Alfa,254033.7673,1320491.157
ET031112OU003,Amhara,Central Gondar,Chilga,273926.4501,1394505.812
ET031111OU004,Amhara,Central Gondar,Dembia,310937.9649,1371620.598
ET031117,Amhara,Central Gondar,East Belesa,412558.971,1383565.591
ET031118,Amhara,Central Gondar,Gonder City Adm.,331649.0537,1390670.707
ET031110,Amhara,Central Gondar,Gonder Zuria,346835.9161,1369517.655
ET031122O,Amhara,Central Gondar,Kinfaz,399693.8772,1414763.933
ET031108,Amhara,Central Gondar,Lay Armacho,322992.9297,1411801.277
ET031120,Amhara,Central Gondar,Tach Armacho,292250.0846,1442133.435
ET031121,Amhara,Central Gondar,Takusa,257554.8465,1353591.504
ET031107,Amhara,Central Gondar,Tsegede (Amhara),288922.8468,1470680.08
ET031109,Amhara,Central Gondar,Wegera,356247.3927,1413360.499
ET031116,Amhara,Central Gondar,West Belesa,374747.875,1381482.756
ET030617,Amhara,East Gojam,Aneded,377645.5905,1125746.979
ET030612,Amhara,East Gojam,Awabel,390607.4206,1130020.19
ET030611,Amhara,East Gojam,Baso Liben,359352.9034,1108798.257
ET030601,Amhara,East Gojam,Bibugn,363774.1313,1197883.806
ET030607,Amhara,East Gojam,Debay Telatgen,389856.3949,1165717.071
ET030608,Amhara,East Gojam,Debre Elias,316231.7653,1131704.5
ET030615,Amhara,East Gojam,Debre Markos Town,360803.9148,1141859.328
ET030613OU006,Amhara,East Gojam,Dejen,409961.6116,1127873.355
ET030605,Amhara,East Gojam,Enarj Enawga,414474.238,1181505.766
ET030604,Amhara,East Gojam,Enebse Sarmder,433614.5303,1201241.726
ET030606OU005,Amhara,East Gojam,Enemay,409962.7907,1161459.431
