forecast_district,match_method,matched_adm3_pcode,matched_adm3_name,matched_adm1_name,matched_area_km2,matched_centroid_lon,matched_centroid_lat
Adaa'r,unmatched,,,,,,
Adhaki,unmatched,,,,,,
Aweday Town,unmatched,,,,,,
Ayder,unmatched,,,,,,
Bekoji Town,unmatched,,,,,,
Bishan Guracha,unmatched,,,,,,
Chilga,unmatched,,,,,,
Debub & Semen Mekele,unmatched,,,,,,
Dembia,unmatched,,,,,,
Denibu Gofa,unmatched,,,,,,
Dolo Odo,unmatched,,,,,,
Dukem,unmatched,,,,,,
Ela (Konta) SP Woreda,unmatched,,,,,,
Esira,unmatched,,,,,,
Ezo /Kogota,unmatched,,,,,,
Gena Bosa,unmatched,,,,,,
Gerese,unmatched,,,,,,
Getawa,unmatched,,,,,,
Hadnet,unmatched,,,,,,
Halaba SP Woreda,unmatched,,,,,,
Hawasa Town,unmatched,,,,,,
Hawelti,unmatched,,,,,,
Jinka Town Admin,unmatched,,,,,,
Kedamay Weyane,unmatched,,,,,,
Kinfaz,unmatched,,,,,,
Konso,unmatched,,,,,,
Kuha,unmatched,,,,,,
Kurri,unmatched,,,,,,
Laelay Adiabo,unmatched,,,,,,
Lege tafo-Lege Dadi Town,unmatched,,,,,,
Menjiwo,unmatched,,,,,,
Sayilem,unmatched,,,,,,
Segen town,unmatched,,,,,,
Sheka,unmatched,,,,,,
Tselemti,unmatched,,,,,,
Tula Town,unmatched,,,,,,
Yem SP Woreda,unmatched,,,,,,
Aba-Korow,pcode_crosswalk,ET050699,Aba-Korow,Somali,2163.174357,42.691608,6.473312
Abaala,pcode_crosswalk,ET020203,Abaala,Afar,458.143977,39.890309,13.224303
Ababo,pcode_crosswalk,ET041904,Ababo,Oromia,616.340929,37.549230,9.779854
Abadir,pcode_crosswalk,ET130109,Abadir,Harari,19.203793,42.122748,9.310441
Abay Chomen,pcode_crosswalk,ET041905,Abay Chomen,Oromia,302.164764,37.281649,9.633501
Abaya,pcode_crosswalk,ET041513,Abaya,Oromia,1835.081523,38.016829,6.354723
Abe Dongoro,pcode_crosswalk,ET041910,Abe Dongoro,Oromia,1095.566998,36.835179,9.599580
Abergele (AM),pcode_crosswalk,ET030805,Abergele (AM),Amhara,1575.207823,38.881364,13.077399
Abergele (TG),pcode_crosswalk,ET010210,Abergele (TG),Tigray,1126.833154,38.886203,13.363992
Abeshege,pcode_crosswalk,ET070102,Abeshege,Central Ethiopia,522.210712,37.622608,8.310922
Abi Adi town,pcode_crosswalk,ET010211,Abiy Adi town,Tigray,19.713680,38.993495,13.633333
Abichugna Gne'a,pcode_crosswalk,ET040609,Abichugna Gne'a,Oromia,676.481910,39.233369,9.608612
Abobo,pcode_crosswalk,ET120201,Abobo,Gambela,3141.130000,34.533277,7.862698
Aboker,pcode_crosswalk,ET130108,Aboker,Harari,10.219786,42.113044,9.336160
Abuna Ginde Beret,pcode_crosswalk,ET040516,Abuna Ginde Beret,Oromia,1119.540051,37.981606,9.668009
Ada'a,pcode_crosswalk,ET040706,Ada'a,Oromia,507.310320,39.036533,8.758885
Adaba,pcode_crosswalk,ET041710,Adaba,Oromia,2163.636652,39.529652,6.989499
Adadle,pcode_crosswalk,ET050602,Adadle,Somali,8669.179230,43.479670,5.491399
Adama,pcode_crosswalk,ET040703,Adama,Oromia,368.196558,39.222302,8.456988
Adama Tulu Jido Kombolcha,pcode_crosswalk,ET040708,Adama Tulu Jido Kombolcha,Oromia,1300.269294,38.660039,7.807852
Adama town,pcode_crosswalk,ET040714,Adama town,Oromia,645.178476,39.279435,8.490653
Adda Berga,pcode_crosswalk,ET040513,Adda Berga,Oromia,945.576775,38.416990,9.427538
Addi Arekay,pcode_crosswalk,ET030101,Addi Arekay,Amhara,1467.387807,37.979180,13.376595
Addis Ketema,pcode_crosswalk,ET150109,Addis Ketema (DD),Dire Dawa,11.035508,41.860395,9.588860
Addis Ketema (DD),pcode_crosswalk,ET150109,Addis Ketema (DD),Dire Dawa,11.035508,41.860395,9.588860
Adet,pcode_crosswalk,ET010207,Adet,Tigray,644.664362,38.619813,13.831931
Adigrat town,pcode_crosswalk,ET010308,Adigrat town,Tigray,19.325886,39.465718,14.274871
Adola,pcode_crosswalk,ET041403,Adola,Oromia,1213.226641,38.998272,5.953324
Adola town,pcode_crosswalk,ET041492,Adola town,Oromia,27.392677,38.983634,5.883249
Adwa,pcode_crosswalk,ET010204,Adwa,Tigray,658.322999,38.932250,14.175320
Adwa town,pcode_crosswalk,ET010212,Adwa town,Tigray,27.304571,38.883749,14.166651
Afambo,pcode_crosswalk,ET020104,Afambo,Afar,2037.355179,41.654878,11.258196
Afdem,pcode_crosswalk,ET050105,Afdem,Somali,1467.724505,40.999909,9.768633
Afdera,pcode_crosswalk,ET020207,Afdera,Afar,12493.927916,40.715799,13.546654
Agarfa,pcode_crosswalk,ET041104,Agarfa,Oromia,1222.491896,39.784396,7.319267
Agaro town,pcode_crosswalk,ET040417,Agaro town,Oromia,30.871129,36.596733,7.856471
Aheferom,pcode_crosswalk,ET010202,Aheferom,Tigray,459.774152,39.148480,14.285624
Akaki,pcode_crosswalk,ET040712,Akaki,Oromia,242.417582,38.767501,8.680368
Akaki Kality,pcode_crosswalk,ET140101,Akaki Kality Sub City,Addis Ababa,125.924493,38.803966,8.896834
Akobo,pcode_crosswalk,ET120101,Akobo,Gambela,2141.209242,33.271625,7.964378
Alamata town,pcode_crosswalk,ET990304,Alamata town,Contested,12.641610,39.563923,12.417624
Albuko,pcode_crosswalk,ET030408,Albuko,Amhara,477.012044,39.612998,10.814272
Ale,pcode_crosswalk,ET040311,Ale,Oromia,562.560786,35.518227,8.121672
Alefa,pcode_crosswalk,ET031115,Alefa,Amhara,2112.926025,36.765547,11.939307
Aleltu,pcode_crosswalk,ET040617,Aleltu,Oromia,424.954248,39.130536,9.213323
Aleta Wendo,pcode_crosswalk,ET160403,Aleta Wendo,Sidama,197.402028,38.436248,6.609355
Aleta Wondo Town,pcode_crosswalk,ET160404,Aleta Wondo town,Sidama,5.247563,38.419870,6.605858
Alge Sachi,pcode_crosswalk,ET040302,Alge Sachi,Oromia,873.083062,35.780137,8.594309
Alicho Woriro,pcode_crosswalk,ET072001,Alicho Woriro,Central Ethiopia,262.662170,38.179497,7.993935
Ambasel,pcode_crosswalk,ET030404,Ambasel,Amhara,882.882750,39.495097,11.502018
Ambo Zuria,pcode_crosswalk,ET040503,Ambo Zuria,Oromia,888.410178,37.856835,9.044882
Ambo town,pcode_crosswalk,ET040515,Ambo town,Oromia,87.379697,37.860989,8.978824
Ameya,pcode_crosswalk,ET041301,Ameya,Oromia,950.836539,37.695024,8.557799
Amibara,pcode_crosswalk,ET020301,Amibara,Afar,824.274314,40.237336,9.223474
Amigna,pcode_crosswalk,ET040810,Amigna,Oromia,1288.208045,40.177967,7.903227
Amir Nur,pcode_crosswalk,ET130107,Amir Nur,Harari,11.851369,42.175880,9.308168
Amuru,pcode_crosswalk,ET041909,Amuru,Oromia,1257.719804,37.007864,10.120986
Ana Sora,pcode_crosswalk,ET041411,Ana Sora,Oromia,466.831726,38.782750,6.236538
Analemmo,pcode_crosswalk,ET070208,Analemmo,Central Ethiopia,224.252505,37.985245,7.636691
Anchar,pcode_crosswalk,ET040906,Anchar,Oromia,756.587998,40.202014,8.713512
Andabet/ West Esite,pcode_crosswalk,ET030211,Andabet /West Esite,Amhara,810.017162,37.913770,11.372810
Anderacha,pcode_crosswalk,ET110101,Anderacha,South West Ethiopia,755.682019,35.463965,7.732913
Aneded,pcode_crosswalk,ET030617,Aneded,Amhara,682.399586,37.883007,10.182059
Anfilo,pcode_crosswalk,ET041807,Anfilo,Oromia,1570.790752,34.526278,8.603486
Angacha,pcode_crosswalk,ET070302,Angacha,Central Ethiopia,153.138686,37.861224,7.359442
Angolelana Tera,pcode_crosswalk,ET030513,Angolelana Tera,Amhara,807.536450,39.457701,9.459649
Ankasha,pcode_crosswalk,ET030903,Ankasha,Amhara,497.344268,36.830992,10.845100
Ankober,pcode_crosswalk,ET030515,Ankober,Amhara,707.998573,39.776633,9.558133
Antsokiya,pcode_crosswalk,ET030507,Antsokiya,Amhara,372.404349,39.803548,10.601689
Arada,pcode_crosswalk,ET140109,Arada Sub City,Addis Ababa,9.935320,38.755949,9.035325
Ararso,pcode_crosswalk,ET050395,Ararso,Somali,972.962631,43.379004,8.701206
Arba Minch Town,pcode_crosswalk,ET080201,Arba Minch town,South Ethiopia,33.369811,37.563006,6.039703
Arba Minch Zuria,pcode_crosswalk,ET080202,Arba Minch Zuria,South Ethiopia,1490.135590,37.559028,5.949041
Arbe Gonna,pcode_crosswalk,ET070403,Sodo,Central Ethiopia,553.542287,38.581046,8.314742
Areka Town,pcode_crosswalk,ET080114,Areka town,South Ethiopia,14.870532,37.706250,7.066371
Arero,pcode_crosswalk,ET042207,Arero,Oromia,4499.272132,38.866740,4.847687
Argoba,pcode_crosswalk,ET030401,Argoba,Amhara,315.139912,39.969987,10.941479
Arguba,pcode_crosswalk,ET020306,Arguba,Afar,365.063825,39.870625,9.491642
Aroresa,pcode_crosswalk,ET160507,Aroresa,Sidama,407.054328,39.011846,6.355351
Arsi Negele,pcode_crosswalk,ET041703,Arsi Negele,Oromia,1267.072283,38.652387,7.452492
Arsi Negele Town,pcode_crosswalk,ET041799,Arsi Negele town,Oromia,51.144287,38.671685,7.342209
Artuma Fursi,pcode_crosswalk,ET031004,Artuma Fursi,Amhara,611.550302,40.011338,10.544857
Asayita,pcode_crosswalk,ET020103,Asayita,Afar,1068.320430,41.444268,11.614709
Aseko,pcode_crosswalk,ET040802,Aseko,Oromia,542.266280,40.060057,8.531087
Asela town,pcode_crosswalk,ET040825,Asela town,Oromia,16.992482,39.134275,7.937482
Aseliso,pcode_crosswalk,ET150201,Aseliso,Dire Dawa,102.551613,41.783418,9.571585
Asgede,pcode_crosswalk,ET010105,Asgede,Tigray,1605.738072,37.908482,14.042806
Assagirt,pcode_crosswalk,ET030514,Assagirt,Amhara,499.936870,39.615334,9.343761
Assosa,pcode_crosswalk,ET060303,Abrahmo,Benishangul-Gumuz,2069.752967,34.400792,9.931402
Atsbi,pcode_crosswalk,ET010307,Atsbi,Tigray,603.528735,39.749519,13.921460
Aw-bare,pcode_crosswalk,ET050205,Aw-Bare,Somali,1764.976131,43.128568,9.602542
Awabel,pcode_crosswalk,ET030612,Awabel,Amhara,809.144627,38.001312,10.221035
Aware,pcode_crosswalk,ET050303,Aware,Somali,2587.199133,44.166262,8.071025
Awash,pcode_crosswalk,ET020396,Awash town,Afar,69.255597,40.147290,8.993920
Awash town,pcode_crosswalk,ET020396,Awash town,Afar,69.255597,40.147290,8.993920
Awra (AF),pcode_crosswalk,ET020401,Awra (AF),Afar,2292.717132,40.316288,12.048899
Axum town,pcode_crosswalk,ET010213,Axum town,Tigray,18.132821,38.727384,14.121744
Ayira,pcode_crosswalk,ET040107,Ayira,Oromia,514.231388,35.312267,9.131485
Ayisha,pcode_crosswalk,ET050101,Ayisha,Somali,5374.306819,42.505371,10.689018
Babile (Oromia),pcode_crosswalk,ET050203,Babile (SM),Somali,347.453415,42.318157,8.520050
Babile (Somali),pcode_crosswalk,ET050203,Babile (SM),Somali,347.453415,42.318157,8.520050
Babo,pcode_crosswalk,ET040111,Babo,Oromia,898.119484,35.096742,9.446381
Bahir Dar town,pcode_crosswalk,ET031401,Bahir Dar town,Amhara,263.380969,37.385714,11.594431
Bahirdar Zuria,pcode_crosswalk,ET031310,Bahir Dar Zuria,Amhara,1580.262294,37.325622,11.620157
Bako Tibe,pcode_crosswalk,ET040506,Bako Tibe,Oromia,639.108051,37.154090,9.095934
Bambasi,pcode_crosswalk,ET060305,Bambasi,Benishangul-Gumuz,1483.557673,34.702168,9.787065
Banja,pcode_crosswalk,ET030902,Banja,Amhara,479.911145,36.911075,10.971666
Barey,pcode_crosswalk,ET050807,Barey,Somali,6145.655717,42.698985,4.701756
Baso Liben,pcode_crosswalk,ET030611,Baso Liben,Amhara,1145.519794,37.716669,10.028157
Basona Worena,pcode_crosswalk,ET030519,Basona Worena,Amhara,1215.284261,39.531548,9.743879
Bati,pcode_crosswalk,ET031002,Bati,Amhara,1212.116099,40.056269,11.161631
Bati Town,pcode_crosswalk,ET031099,Bati town,Amhara,3.636154,40.014913,11.192419
Becho (Ilu Aba Bora),pcode_crosswalk,ET040314,Becho (Ilu Aba Bora),Oromia,585.240075,35.710439,8.091273
Becho (SW Shewa),pcode_crosswalk,ET041309,Becho (SW Shewa),Oromia,436.720831,38.244611,8.659263
Bedele Zuria,pcode_crosswalk,ET041622,Bedele Zuria,Oromia,743.985666,36.382511,8.473117
Bedele town,pcode_crosswalk,ET041621,Bedele town,Oromia,8.511125,36.348746,8.451591
Bedeno,pcode_crosswalk,ET041013,Bedeno,Oromia,820.619431,41.638948,9.063957
Bedesa,pcode_crosswalk,ET040914,Bedesa town,Oromia,3.019942,40.775337,8.904986
Begi,pcode_crosswalk,ET040116,Begi,Oromia,866.108549,34.543117,9.335817
Bele Gesgar,pcode_crosswalk,ET040823,Bele Gesgar,Oromia,638.485508,40.057782,7.703236
Bena Tsemay,pcode_crosswalk,ET081201,Bena Tsemay,South Ethiopia,3603.640752,36.666493,5.451280
Bensa,pcode_crosswalk,ET160503,Bensa,Sidama,335.799016,38.845120,6.532060
Berahile,pcode_crosswalk,ET020205,Berahile,Afar,2915.765246,40.180737,13.961027
Berbere,pcode_crosswalk,ET041114,Berbere,Oromia,1569.155634,40.164502,6.711997
Bereh,pcode_crosswalk,ET040619,Bereh,Oromia,318.550889,38.974426,9.140295
Berehet,pcode_crosswalk,ET030517,Berehet,Amhara,772.294265,39.685283,9.187797
Bero,pcode_crosswalk,ET110505,Bero,South West Ethiopia,594.443187,35.238597,6.342774
Berocano,pcode_crosswalk,ET050608,Berocano,Somali,2571.759866,43.197171,6.181803
Beyeda,pcode_crosswalk,ET030102,Beyeda,Amhara,968.375835,38.457989,13.239784
Bibugn,pcode_crosswalk,ET030601,Bibugn,Amhara,399.925814,37.753793,10.833862
Bidu,pcode_crosswalk,ET020208,Bidu,Afar,6985.893800,41.379542,13.003283
Bila Seyo,pcode_crosswalk,ET040207,Bila Seyo,Oromia,670.070706,36.959570,9.350006
Bilidigilu,pcode_crosswalk,ET060306,Bilidigilu,Benishangul-Gumuz,1705.050730,35.114485,10.128791
Bilo Nopha,pcode_crosswalk,ET040315,Bilo Nopha,Oromia,395.771175,35.530315,8.430262
Bishoftu town,pcode_crosswalk,ET040709,Bishoftu town,Oromia,511.978768,38.958858,8.756437
Bita (Big),pcode_crosswalk,ET110210,Bita,South West Ethiopia,1086.694459,35.673502,7.372049
Biyoawale,pcode_crosswalk,ET150208,Biyoawale,Dire Dawa,350.015547,41.999683,9.575757
Bodaley,pcode_crosswalk,ET050599,Bodaley,Somali,3237.064262,43.928120,7.023218
Boditi Town,pcode_crosswalk,ET080115,Boditi town,South Ethiopia,13.686772,37.861714,6.952943
Boji Chekorsa,pcode_crosswalk,ET040110,Boji Chekorsa,Oromia,343.285769,35.505824,9.285456
Boji Dirmeji,pcode_crosswalk,ET040106,Boji Dirmeji,Oromia,498.734068,35.633524,9.401167
Boke,pcode_crosswalk,ET040910,Boke,Oromia,1034.329887,40.747874,8.613317
Bokh,pcode_crosswalk,ET050702,Bokh,Somali,8074.008260,46.650934,7.645054
Bole,pcode_crosswalk,ET140104,Bole Sub City,Addis Ababa,65.604193,38.809285,8.974422
Boloso Bombe,pcode_crosswalk,ET080108,Boloso Bombe,South Ethiopia,272.265924,37.552739,7.107837
Boloso Sore,pcode_crosswalk,ET080101,Boloso Sore,South Ethiopia,288.287596,37.710123,7.074692
Bona Zuria,pcode_crosswalk,ET160502,Bona Zuria,Sidama,200.778119,38.711807,6.501879
Boneya Boshe,pcode_crosswalk,ET040205,Boneya Boshe,Oromia,474.199620,37.038533,8.915872
Bonga Town,pcode_crosswalk,ET110211,Bonga town,South West Ethiopia,13.672155,36.243924,7.269602
Bora (OR),pcode_crosswalk,ET040710,Bora (OR),Oromia,475.297184,38.924797,8.314448
Bore,pcode_crosswalk,ET041402,Bore,Oromia,453.394166,38.618504,6.365460
Borecha,pcode_crosswalk,ET041607,Borecha,Oromia,738.781447,36.651963,8.307014
Boreda,pcode_crosswalk,ET080205,Boreda,South Ethiopia,464.231793,37.656643,6.529360
Borena / Debresina,pcode_crosswalk,ET030412,Borena /Debresina,Amhara,1017.611648,38.695194,10.749652
Boricha,pcode_crosswalk,ET160208,Boricha,Sidama,110.651589,38.338059,6.919152
Boset,pcode_crosswalk,ET040702,Boset,Oromia,1300.856586,39.544976,8.642082
Bugna,pcode_crosswalk,ET030301,Bugna,Amhara,1303.954594,38.717413,12.171376
Bule,pcode_crosswalk,ET081104,Bule,South Ethiopia,126.310482,38.393913,6.284237
Bule Hora,pcode_crosswalk,ET041501,Bule Hora,Oromia,931.955717,38.315787,5.648885
Bule Hora town,pcode_crosswalk,ET041587,Bule Hora town,Oromia,48.334656,38.233283,5.642601
Bulen,pcode_crosswalk,ET060207,Bulen,Benishangul-Gumuz,2957.721295,35.956897,10.545135
Burayu,pcode_crosswalk,ET042001,Burayu,Oromia,24.903156,38.667541,9.078577
Bure (AM),pcode_crosswalk,ET030710,Bure (AM),Amhara,800.794457,37.049009,10.539101
Bure (OR),pcode_crosswalk,ET040312,Bure (OR),Oromia,1088.878324,35.128353,8.328262
Bure town,pcode_crosswalk,ET030798,Bure town,Amhara,12.445935,37.064763,10.705762
Burqod,pcode_crosswalk,ET050394,Burqod,Somali,2627.638854,43.616508,7.609649
Burqua Dhintu,pcode_crosswalk,ET040998,Burqua Dhintu,Oromia,2462.920523,41.140081,8.306216
Bursa,pcode_crosswalk,ET160401,Bursa,Sidama,159.639639,38.589829,6.627323
Butajira town,pcode_crosswalk,ET070401,Butajira town,Central Ethiopia,16.137437,38.384684,8.119427
Chagni town,pcode_crosswalk,ET030999,Chagni town,Amhara,17.320028,36.507440,10.957766
Charati,pcode_crosswalk,ET050802,Charati,Somali,8480.232554,41.677562,5.298139
Cheha,pcode_crosswalk,ET070110,Cheha,Central Ethiopia,559.840160,37.826871,8.146807
Cheliya,pcode_crosswalk,ET040505,Cheliya,Oromia,389.192670,37.408251,9.055225
Chena,pcode_crosswalk,ET110209,Chena,South West Ethiopia,432.036352,35.805779,7.132429
Chencha,pcode_crosswalk,ET080206,Chencha town,South Ethiopia,4.873825,37.577686,6.243839
Cheta,pcode_crosswalk,ET110207,Cheta,South West Ethiopia,685.140292,36.367193,6.910911
Chifra,pcode_crosswalk,ET020106,Chifra,Afar,1484.027915,40.227505,11.584530
Chila,pcode_crosswalk,ET010201,Chila,Tigray,590.527579,38.574168,14.309642
Chinaksen,pcode_crosswalk,ET041015,Chinaksen,Oromia,1243.600805,42.570274,9.599108
Chire,pcode_crosswalk,ET160506,Chire,Sidama,165.031675,39.060434,6.491624
Chiro Zuria,pcode_crosswalk,ET040913,Chiro Zuria,Oromia,688.477946,40.828238,9.070333
Chiro town,pcode_crosswalk,ET040905,Chiro town,Oromia,5.902820,40.867076,9.078966
Chole,pcode_crosswalk,ET040809,Chole,Oromia,585.143892,39.973008,8.112515
Chora (Buno Bedele),pcode_crosswalk,ET041603,Chora (Buno Bedele),Oromia,823.803090,36.138731,8.390849
Chora (Jimma),pcode_crosswalk,ET040415,Chora (Jimma),Oromia,834.723398,37.157758,8.354742
Chuko,pcode_crosswalk,ET160406,Chuko town,Sidama,1.975514,38.335987,6.586618
Chwaka,pcode_crosswalk,ET041623,Chwaka,Oromia,606.723908,36.134061,8.891698
Dabat,pcode_crosswalk,ET030105,Dabat,Amhara,1089.731049,37.683789,13.052820
Dabo Hana,pcode_crosswalk,ET041605,Dabo Hana,Oromia,746.159251,36.288667,8.706184
Dale,pcode_crosswalk,ET160305,Dale,Sidama,287.567631,38.409517,6.749434
Dale Sadi,pcode_crosswalk,ET041808,Dale Sadi,Oromia,577.055838,35.200975,8.930806
Dale Wabera,pcode_crosswalk,ET041803,Dale Wabera,Oromia,529.466673,35.060640,9.025045
Dalefage,pcode_crosswalk,ET020504,Dalefage,Afar,978.310483,40.365513,10.518793
Dalocha,pcode_crosswalk,ET072005,Dalocha,Central Ethiopia,301.277293,38.280490,7.764811
Dalol,pcode_crosswalk,ET020206,Dalol,Afar,2232.317186,40.065804,14.287057
Dama,pcode_crosswalk,ET041408,Dama,Oromia,357.117581,38.523157,6.260835
Damboya,pcode_crosswalk,ET070307,Damboya,Central Ethiopia,163.196598,37.957068,7.357614
Damot Gale,pcode_crosswalk,ET080102,Damot Gale,South Ethiopia,241.962993,37.887687,6.991478
Damot Pullasa,pcode_crosswalk,ET080111,Damot Pullasa,South Ethiopia,165.099524,37.859874,7.047100
Damot Sore,pcode_crosswalk,ET080109,Damot Sore,South Ethiopia,176.306775,37.660143,6.947524
Damot Woide,pcode_crosswalk,ET080103,Damot Woide,South Ethiopia,215.779292,37.933606,6.880158
Danan,pcode_crosswalk,ET050603,Danan,Somali,2152.736105,43.485564,6.580849
Dangila,pcode_crosswalk,ET030901,Dangila,Amhara,909.875449,36.770621,11.226918
Dangila town,pcode_crosswalk,ET030998,Dangila town,Amhara,9.061182,36.845612,11.262754
Dangur,pcode_crosswalk,ET060201,Dangur,Benishangul-Gumuz,4757.773367,36.025005,11.371908
Dano,pcode_crosswalk,ET040507,Dano,Oromia,659.824157,37.289958,8.755300
Danod,pcode_crosswalk,ET050701,Danod,Somali,7258.053651,45.687502,7.711408
Dara,pcode_crosswalk,ET160407,Dara,Sidama,147.966661,38.360151,6.441771
Daramalo,pcode_crosswalk,ET080208,Daramalo,South Ethiopia,361.954252,37.297253,6.289604
Daratole,pcode_crosswalk,ET050788,Daratole,Somali,1171.682285,45.350523,7.284827
Darimu,pcode_crosswalk,ET040301,Darimu,Oromia,1377.171552,35.377844,8.619185
Daro Lebu,pcode_crosswalk,ET040909,Daro Lebu,Oromia,1326.385133,40.469142,8.465366
Daror,pcode_crosswalk,ET050392,Daror,Somali,7131.110253,44.474734,8.429209
Dasenech /Kuraz,pcode_crosswalk,ET081202,Dasenech /Kuraz,South Ethiopia,2584.642146,36.090778,4.684659
Dawe,pcode_crosswalk,ET020503,Dawe,Afar,749.567591,40.285946,10.719535
Dawe Ketchen,pcode_crosswalk,ET042106,Dawe Ketchen,Oromia,1689.574946,40.826820,6.652594
Dawo,pcode_crosswalk,ET041304,Dawo,Oromia,461.631171,38.132977,8.790881
Dawunt,pcode_crosswalk,ET030311,Dawunt,Amhara,618.683831,38.839017,11.473613
Debark,pcode_crosswalk,ET030104,Debark,Amhara,1246.399454,37.803087,13.231611
Debark town,pcode_crosswalk,ET030198,Debark town,Amhara,5.658017,37.897563,13.150320
Debay Telatgen,pcode_crosswalk,ET030607,Debay Telatgen,Amhara,626.455245,37.993295,10.543835
Debeweyin,pcode_crosswalk,ET050504,Debeweyin,Somali,2231.781052,44.389547,6.071295
Debre Berhan town,pcode_crosswalk,ET030520,Debre Berhan town,Amhara,146.378070,39.525836,9.664373
Debre Elias,pcode_crosswalk,ET030608,Debre Elias,Amhara,1192.757430,37.322246,10.233485
Debre Libanos,pcode_crosswalk,ET040607,Debre Libanos,Oromia,283.159062,38.853044,9.659945
