new_adm3_pcode,new_adm3_name,new_adm1_name,new_area_km2,n_old_parts,total_share_of_new_explained,old_pcodes,old_names,share_of_new_list,intersection_km2_list
ET041019,Maya town,Oromia,356.08047,4,0.999999,ET041006;ET041099O;ET041008;ET041001O,Haro Maya;Aweday Town;Kersa (East Hararge);Haromaya Town,0.735819;0.161232;0.087135;0.015813,262.010742;57.411613;31.027241;5.630867
ET010703,Ayder Sub City,Tigray,41.645155,4,0.991764,ET010602;ET011067;ET011065;ET011064,Enderta;Ayder;Hawelti;Kedamay Weyane,0.679028;0.211404;0.085863;0.015469,28.278239;8.803972;3.575761;0.644227
ET050698,Elale,Somali,2729.920721,4,0.978788,ET050604OU062;ET050504;ET050502OU070;ET050596,Gode;Debeweyin;Kebridehar;Lasdhankayre,0.71437;0.15263;0.071752;0.040036,1950.17228;416.66881;195.877839;109.294754
ET041711,Shashemene town,Oromia,473.249753,4,0.977283,ET041712;ET041702;ET041798;ET041797,Shashemene Zuria;Shala;Bishan Guracha;Wondo,0.682878;0.125006;0.095768;0.073631,323.171892;59.158935;45.322218;34.845782
ET041913,Sulula Finca'a,Oromia,1263.736371,4,0.971137,ET041905;ET041904;ET041908;ET041901OU037,Abay Chomen;Ababo;Jarte Jardega;Horo,0.446013;0.267534;0.20296;0.05463,563.642439;338.092394;256.487361;69.037408
ET050204,Shabeeley,Somali,1621.484028,4,0.738187,ET050206OU059;ET050201;ET050298;ET050202,Kebribeyah;Babile (Somali);Haroreys;Gursum (Somali),0.294705;0.247097;0.12232;0.074065,477.85931;400.663815;198.33915;120.095323
ET050109,Dhunyar,Somali,2254.122091,3,1.000001,ET050106;ET050199;ET050104,Hadhagala;Gablalu;Erer (Somali),0.589421;0.317938;0.092642,1328.625957;716.670027;208.825875
ET050299,Harawo,Somali,1535.315861,3,1.000001,ET050205OU058;ET050102;ET050101,Aw-bare;Dembel;Ayisha,0.869187;0.077098;0.053716,1334.476238;118.369114;82.470508
ET040623,Sendafa town,Oromia,143.447581,3,1,ET042011;ET040617;ET042018,Bereh;Aleltu;Sendafa Town,0.499678;0.471058;0.029264,71.677591;67.572071;4.197919
ET160101,Hawassa town,Sidama,207.627588,3,1,ET070402;ET070419;ET070421O,Hawassa Zuria;Hawasa Town;Tula Town,0.859812;0.133783;0.006405,178.520631;27.77707;1.329886
ET072010,Worabe town,Central Ethiopia,126.267772,3,1,ET072005;ET072008;ET072098,Dalocha;Wilbareg;Worabe Town,0.402173;0.396022;0.201805,50.781536;50.004804;25.481431
ET050402,Fik,Somali,3059.459636,3,1,ET050402OU057;ET050404OU056;ET050408,Fik;Hamero;Meyumuluka,0.910996;0.064048;0.024956,2787.154785;195.953332;76.351518
ET081107,Rape,South Ethiopia,167.305452,3,1,ET070504;ET070502;ET070501,Bule;Yirgachefe;Wenago,0.886372;0.061293;0.052335,148.29479;10.254725;8.755936
ET042011,Sebeta,Oromia,215.176674,3,1,ET042006;ET042009O;ET042014OU069,Sebeta Hawas;Sebeta /Town/;Welmera,0.579919;0.259852;0.160229,124.785023;55.914171;34.47748
ET081108,Churso,South Ethiopia,178.575481,3,1,ET070506;ET070503;ET070502,Kochere Gedeb;Kochere;Yirgachefe,0.612235;0.216627;0.171138,109.330146;38.684286;30.561049
ET080120,Kawo Koyesha,South Ethiopia,163.417668,3,1,ET070610;ET070607;ET070606,Kindo Dida;Ofa;Kindo Koyesha,0.664199;0.277351;0.05845,108.541807;45.324106;9.551755
ET160302,Shafamo,Sidama,115.981733,3,1,ET070403;ET070416;ET070418,Arbe Gonna;Bursa;Bona Zuria,0.664553;0.221067;0.11438,77.075982;25.639729;13.266019
ET160402,Teticha,Sidama,127.314205,3,1,ET070407;ET070416;ET070405,Hulla;Bursa;Aleta Wendo,0.48842;0.291557;0.220023,62.182787;37.119374;28.012044
ET010317,Geraleta,Tigray,346.876694,3,1,ET010604;ET010306;ET010305,Dega Temben;Kelete Awelallo;Hawzen,0.483468;0.341939;0.174593,167.703932;118.610517;60.562245
ET010705,Adihaki Sub City,Tigray,3.803121,3,1,ET011066;ET010602;ET011068,Hadnet;Enderta;Adhaki,0.499635;0.406374;0.093991,1.900174;1.54549;0.357457
ET042004,Galan,Oromia,123.763941,3,0.999999,ET042012;ET042098;ET042006,Akaki;Gelana (Finfine);Sebeta Hawas,0.68578;0.243781;0.070438,84.874884;30.171315;8.717741
ET050297,Koran /Mulla,Somali,1469.310605,3,0.999756,ET050301;ET050206OU059;ET050395,Degehamedo;Kebribeyah;Ararso,0.508553;0.301938;0.189265,747.222928;443.641126;278.089078
ET050382,Yocale,Somali,1509.893294,3,0.986711,ET050302OU060;ET050303;ET050207,Degehabur;Aware;Harshin,0.741988;0.13431;0.110413,1120.322409;202.793284;166.711766
ET010701,Kuiha Sub City,Tigray,146.502445,3,0.986431,ET010602;ET011063;ET011064,Enderta;Kuha;Kedamay Weyane,0.941384;0.037783;0.007264,137.915006;5.535343;1.064189
ET010707,Semen Sub City,Tigray,36.165967,3,0.986282,ET011062;ET010602;ET011064,Debub & Semen Mekele;Enderta;Kedamay Weyane,0.838279;0.094649;0.053354,30.317174;3.423058;1.929601
ET010704,Hawelti Sub City,Tigray,15.845385,3,0.981666,ET011065;ET011068;ET010602,Hawelti;Adhaki;Enderta,0.543143;0.302384;0.136139,8.606308;4.791392;2.157183
ET050704,Warder,Somali,10860.98238,3,0.95844,ET050704OU055;ET050703;ET050788,Warder;Galadi;Daratole,0.746544;0.206217;0.005679,8108.204522;2239.716206;61.683595
