old_adm3_pcode,old_adm3_name,old_adm1_name,old_area_km2,n_new_parts,total_share_of_old_explained,new_pcodes,new_names,share_of_old_list,intersection_km2_list
ET050502OU070,Kebridehar,Somali,8942.102647,8,0.974345,ET050502;ET050595;ET050598;ET050599;ET050596;ET050504;ET050698;ET050592,Kebridehar;Goglo;El-Ogaden;Bodaley;Lasdhankayre;Debeweyin;Elale;Kebridehar town,0.261722;0.205472;0.183378;0.1723;0.081941;0.035995;0.021905;0.011632,2340.347691;1837.348774;1639.784207;1540.723038;732.728307;321.868132;195.877839;104.016051
ET071305,Konso,SNNP,2333.884889,6,1,ET080902;ET080905;ET080904;ET080901;ET080601;ET080903,Karat Zuria;Kolme;Segen Zuria;Kena;Alle Special;Karat town,0.40845;0.291602;0.158858;0.120669;0.019193;0.001228,953.274331;680.566616;370.755744;281.628309;44.794368;2.865515
ET042006,Sebeta Hawas,Oromia,750.195201,6,0.998099,ET041306;ET042011;ET042005;ET042003;ET042010;ET042004,Sebeta Hawas;Sebeta;Galan Gudo;Furi;Melka Nonno;Galan,0.633833;0.166337;0.143187;0.022422;0.020699;0.011621,475.498522;124.785023;107.418246;16.82088;15.528616;8.717741
ET050601OU071,East Imi,Somali,5510.127038,6,0.996581,ET050601;ET050699;ET051006;ET051001;ET050403;ET050809,East Imi;Aba-Korow;Dihun;Ayun;Salahad;Raso,0.538126;0.171051;0.142921;0.129222;0.010659;0.004602,2965.140625;942.513037;787.514095;712.03038;58.73056;25.354864
ET050206OU059,Kebribeyah,Somali,4001.696524,6,0.989503,ET050206;ET050204;ET050297;ET050207;ET050298;ET050296,Kebribeyah;Shabeeley;Koran /Mulla;Harshin;Haroreys;Kebribayah town,0.686196;0.119414;0.110863;0.055031;0.010736;0.007263,2745.948735;477.85931;443.641126;220.218704;42.962459;29.062821
ET050302OU060,Degehabur,Somali,6582.46208,6,0.966911,ET050302;ET050382;ET050306;ET050394;ET050307;ET050301,Degehabur;Yocale;Bilcil-Bur;Burqod;Degahabur town;Degehamedo,0.519238;0.170198;0.152412;0.062072;0.035623;0.027368,3417.867321;1120.322409;1003.243853;408.587604;234.484317;180.151785
ET010602,Enderta,Tigray,1328.486653,6,0.169627,ET010701;ET010702;ET010703;ET010707;ET010704;ET010705,Kuiha Sub City;Hadnet Sub City;Ayder Sub City;Semen Sub City;Hawelti Sub City;Adihaki Sub City,0.103814;0.039163;0.021286;0.002577;0.001624;0.001163,137.915006;52.026937;28.278239;3.423058;2.157183;1.54549
ET031112OU003,Chilga,Amhara,3036.247883,5,1.000001,ET031205;ET031106;ET031112;ET031119;ET031199,Adagn Ager Chaqo;Chilga 1;Chilga 2;Masero Denb /Central Armacho;Aykel town,0.48813;0.236807;0.235209;0.038871;0.000984,1482.082706;719.004087;714.151719;118.020703;2.988667
ET071901,Ela (Konta) SP Woreda,SNNP,2353.526841,5,1,ET110601;ET110605;ET110604;ET110603;ET110602,Konta Koysha;Ameya Zuria;Elahanchano;Amaya town;Chida town,0.507052;0.358772;0.0858;0.026361;0.022015,1193.361014;844.37851;201.932183;62.042166;51.812968
ET042014OU069,Welmera,Oromia,674.332832,5,0.996555,ET040520;ET042006;ET040512;ET042011;ET042009,Welmera;Gefersa Guje;Holeta town;Sebeta;Mana Abichu,0.648449;0.198126;0.084568;0.051128;0.014284,437.270577;133.602541;57.026982;34.47748;9.632043
