status,adm3_pcode,old_adm3_name,new_adm3_name,name_changed,old_adm2_name,new_adm2_name,old_adm1_name,new_adm1_name,region_changed,old_area_km2,new_area_km2,area_delta_km2,area_pct_change,old_coord_points,new_coord_points,coord_points_delta,other_pcodes_same_name,in_old,in_new
matched_pcode_name_changed,ET010103,Medebay Zana,Zana,yes,North Western,North Western,Tigray,Tigray,no,1041.96128,571.105537,-470.855742,-45.1894,1595,562,-1033,,yes,yes
matched_pcode_name_changed,ET010105,Asgede Tsimbila,Asgede,yes,North Western,North Western,Tigray,Tigray,no,2368.154614,1605.738057,-762.416557,-32.1945,1568,2355,787,,yes,yes
matched_pcode_name_changed,ET010107,Sheraro Town,Sheraro town,yes,North Western,North Western,Tigray,Tigray,no,26.568925,72.347913,45.778988,172.3027,54,548,494,,yes,yes
matched_pcode_name_changed,ET010108,Shire,Shire Endaslasie town,yes,North Western,North Western,Tigray,Tigray,no,6.961398,14.630754,7.669356,110.1698,71,144,73,,yes,yes
matched_pcode_name_changed,ET010201,Mereb Lehe,Chila,yes,Central,Central,Tigray,Tigray,no,1232.202369,590.527622,-641.674747,-52.0754,1629,1414,-215,,yes,yes
matched_pcode_name_changed,ET010203,Werei Leke,Endaba Tsahma,yes,Central,Central,Tigray,Tigray,no,1268.55953,405.810042,-862.749489,-68.0102,1880,2000,120,,yes,yes
matched_pcode_name_changed,ET010206,Tahtay Mayechew,Tahtay Maychew,yes,Central,Central,Tigray,Tigray,no,589.631031,333.037755,-256.593276,-43.5176,1642,1726,84,,yes,yes
matched_pcode_name_changed,ET010207,Naeder Adet,Adet,yes,Central,Central,Tigray,Tigray,no,938.986507,644.664358,-294.322149,-31.3447,1327,1371,44,,yes,yes
matched_pcode_name_changed,ET010208,Kola Temben,Kola Tembien,yes,Central,Central,Tigray,Tigray,no,1366.912533,718.018069,-648.894464,-47.4715,1884,2061,177,,yes,yes
matched_pcode_name_changed,ET010210,Tanqua Abergele,Abergele (TG),yes,Central,Central,Tigray,Tigray,no,1445.808304,1126.832813,-318.975491,-22.0621,1384,1733,349,,yes,yes
matched_pcode_name_changed,ET010211,Abi Adi Town,Abiy Adi town,yes,Central,Central,Tigray,Tigray,no,24.057481,19.713678,-4.343803,-18.0559,114,272,158,,yes,yes
matched_pcode_name_changed,ET010212,Adwa Town,Adwa town,yes,Central,Central,Tigray,Tigray,no,11.483225,27.304569,15.821345,137.7779,137,220,83,,yes,yes
matched_pcode_name_changed,ET010213,Axum Town,Axum town,yes,Central,Central,Tigray,Tigray,no,17.195787,18.132819,0.937033,5.4492,41,131,90,,yes,yes
matched_pcode_name_changed,ET010303,Saesie Tsaedamba,Sebuha Saesie,yes,Eastern,Eastern,Tigray,Tigray,no,1050.931654,606.298465,-444.633189,-42.3085,1672,1723,51,,yes,yes
matched_pcode_name_changed,ET010306,Kelete Awelallo,Kilte Awulaelo,yes,Eastern,Eastern,Tigray,Tigray,no,967.035196,494.161617,-472.873579,-48.8993,1450,2389,939,,yes,yes
matched_pcode_name_changed,ET010307,Atsbi Wenberta,Atsbi,yes,Eastern,Eastern,Tigray,Tigray,no,1149.151492,603.528739,-545.622753,-47.4805,739,599,-140,,yes,yes
