adm1_name,old_district_count,new_district_count,district_count_delta,old_area_km2,new_area_km2,area_delta_km2,in_old,in_new
SNNP,158,0,-158,109209.928651,,-109209.928651,yes,no
South Ethiopia,0,93,93,,48292.623373,48292.623373,no,yes
Amhara,153,225,72,152606.075177,155638.754356,3032.679179,yes,yes
Central Ethiopia,0,69,69,,15106.049530,15106.049530,no,yes
South West Ethiopia,0,59,59,,39035.808176,39035.808176,no,yes
Oromia,307,349,42,323006.378277,323034.836200,28.457922,yes,yes
Sidama,0,37,37,,6776.711767,6776.711767,no,yes
Benishangul-Gumuz,0,26,26,,50217.884089,50217.884089,no,yes
Tigray,52,75,23,52628.950142,33930.249446,-18698.700696,yes,yes
Benishangul Gumz,20,0,-20,50236.995993,,-50236.995993,yes,no
Somali,81,100,19,310708.897611,311104.779673,395.882062,yes,yes
Contested,0,18,18,,18698.787046,18698.787046,no,yes
Afar,34,49,15,94889.338863,94889.351642,0.012779,yes,yes
Addis Ababa,10,11,1,539.626369,539.626375,0.000006,yes,yes
Gambela,14,15,1,30773.728609,31245.600422,471.871813,yes,yes
Dire Dawa,13,13,0,1053.317207,1053.317431,0.000224,yes,yes
Harari,9,9,0,370.775936,370.775942,0.000006,yes,yes
