adm3_pcode,old_adm3_name,new_adm3_name,name_changed,old_adm1_name,new_adm1_name,old_area_km2,new_area_km2,area_delta_km2,area_pct_change,intersection_km2,union_km2,iou,centroid_shift_km,centroid_shift_bearing_deg,old_centroid_lon,old_centroid_lat,new_centroid_lon,new_centroid_lat
ET020305,Gelealo,Gala'alu,yes,Afar,Afar,792.470188,1825.85815,1033.387963,130.4009,0,2618.328338,0,35.3309,148.47,40.469158,10.126046,40.637579,9.853723
ET042011,Bereh,Sebeta,yes,Oromia,Oromia,705.215077,215.176674,-490.038402,-69.4878,0,920.391751,0,47.4859,-120.32,38.95239,9.117063,38.579725,8.900098
ET042012,Akaki,Sululta,yes,Oromia,Oromia,543.97588,148.087819,-395.888061,-72.7768,0,692.0637,0,44.2781,-7.28,38.817654,8.772045,38.766621,9.169156
ET050199,Gablalu,Gablalu,no,Somali,Somali,1035.972957,5019.75823,3983.785273,384.5453,0,6055.731188,0,71.4348,61.93,41.0732,10.335659,41.649274,10.639011
ET050598,El-Ogaden,El-Ogaden,no,Somali,Somali,2182.258963,1639.784207,-542.474755,-24.8584,0,3822.04317,0,83.2931,-170.08,44.567316,7.161633,44.437642,6.419699
ET070401,Shebe Dino,Butajira town,yes,SNNP,Central Ethiopia,197.21142,16.137437,-181.073982,-91.8172,0,213.348857,0,136.3381,-2.52,38.438996,6.88783,38.384684,8.119427
ET070402,Hawassa Zuria,Bui town,yes,SNNP,Central Ethiopia,544.219284,3.512666,-540.706618,-99.3545,0,547.731951,0,143.1243,6.95,38.395221,7.037798,38.552341,8.322411
ET070403,Arbe Gonna,Sodo,yes,SNNP,Central Ethiopia,326.537376,553.542287,227.00491,69.5188,0,880.079663,0,181.0397,-4.1,38.698471,6.681955,38.581046,8.314742
ET070404,Dale,Meskan,yes,SNNP,Central Ethiopia,263.400862,331.058868,67.658006,25.6863,0,594.459729,0,153.7907,-1.6,38.39784,6.76051,38.358962,8.150568
ET070405,Aleta Wendo,Misrak Meskan,yes,SNNP,Central Ethiopia,225.414072,108.322719,-117.091353,-51.945,0,333.73679,0,165.5744,1.68,38.444094,6.607581,38.488067,8.104095
ET070406,Dara,Debub Sodo,yes,SNNP,Central Ethiopia,247.740928,277.257356,29.516428,11.9142,0,524.998285,0,194.3124,3.05,38.391395,6.458806,38.48515,8.213324
ET042006,Sebeta Hawas,Gefersa Guje,yes,Oromia,Oromia,750.195201,171.441385,-578.753816,-77.1471,1.426173,920.210413,0.00155,30.5229,-1.56,38.599083,8.79564,38.591503,9.07151
ET041711,Shashemene Town,Shashemene town,yes,Oromia,Oromia,10.750927,473.249753,462.498826,4301.9437,10.750927,473.249753,0.022717,6.5571,-106.18,38.601418,7.201816,38.544404,7.185289
ET050307,Degahabur City,Degahabur town,yes,Somali,Somali,7.766675,242.250992,234.484317,3019.1082,7.766675,242.250992,0.03206,1.6119,-77.2,43.565484,8.22254,43.551218,8.225768
ET020303,Gewane,Gewane,no,Afar,Afar,8659.700837,455.714975,-8203.985861,-94.7375,455.714975,8659.700837,0.052625,38.562,-157.31,40.765531,10.487837,40.629798,10.166156
ET050592,Kebridehar City,Kebridehar town,yes,Somali,Somali,11.255067,115.271119,104.016051,924.1709,11.255067,115.271119,0.09764,0.9119,149.57,44.27201,6.739855,44.276188,6.732745
ET050198,Gota-biki,Gota-Biki,yes,Somali,Somali,1052.497156,1134.771135,82.273979,7.817,245.988508,1941.279783,0.126715,18.2987,-160.65,41.233034,9.845638,41.177784,9.68954
ET050898,Kohle/Qoxle,Kohle /Qoxle,yes,Somali,Somali,2592.546368,2821.705019,229.158651,8.8391,755.8394,4658.411987,0.162253,41.965,25.07,42.965718,4.965543,43.126113,5.309271
ET040714,Adama Town,Adama town,yes,Oromia,Oromia,109.608724,645.178476,535.569752,488.6196,109.608724,645.178476,0.169889,3.8016,166.87,39.27159,8.524127,39.279435,8.490653
ET020396,Awash City,Awash town,yes,Afar,Afar,11.778126,69.255597,57.477471,488.0018,11.778126,69.255597,0.170067,2.5046,-97.5,40.169872,8.996878,40.14729,8.99392
ET050699,Aba-korow,Aba-Korow,yes,Somali,Somali,1172.281232,2163.174357,990.893125,84.5269,599.727398,2735.728192,0.21922,26.4013,-27.36,42.801311,6.261299,42.691608,6.473312
ET041290,Guchi,Guchi,no,Oromia,Oromia,1454.370212,2405.777951,951.407739,65.4172,736.016126,3124.132037,0.235591,33.9867,52.32,38.892512,3.758307,39.134701,3.946158
