relation,likely_change_type,old_adm3_pcode,old_adm3_name,old_adm1_name,new_adm3_pcode,new_adm3_name,new_adm1_name,intersection_km2,share_of_old,share_of_new,old_area_km2,new_area_km2
cross_pcode_overlap,likely_merge_many_old_to_new,ET010504,Setit Humera,Tigray,ET990101,Setit Humera town,Contested,14.462336,1,0.139265,14.462336,103.847826
cross_pcode_overlap,likely_merge_many_old_to_new,ET011063,Kuha,Tigray,ET010701,Kuiha Sub City,Tigray,5.535343,1,0.037783,5.535343,146.502445
cross_pcode_overlap,one_to_one_redraw_or_recode,ET0201011,Kurri,Afar,ET020108,Kori,Afar,2868.541625,1,1,2868.541625,2868.541625
cross_pcode_overlap,one_to_one_redraw_or_recode,ET0202071,Bidu,Afar,ET020208,Bidu,Afar,6985.8938,1,1,6985.8938,6985.8938
cross_pcode_overlap,one_to_one_redraw_or_recode,ET020305,Gelealo,Afar,ET020309,Borimodaytu,Afar,792.470187,1,1,792.470188,792.470187
cross_pcode_overlap,one_to_one_redraw_or_recode,ET030701,Semen Achefer,Amhara,ET031301,Semen Achefer,Amhara,1151.933333,1,0.919781,1151.933333,1252.399895
cross_pcode_overlap,one_to_one_redraw_or_recode,ET030712,Bahir Dar Town,Amhara,ET031401,Bahir Dar town,Amhara,213.439371,1,0.810383,213.439371,263.380969
cross_pcode_overlap,one_to_one_redraw_or_recode,ET030718,Gonje,Amhara,ET031307,Gonje,Amhara,633.914834,1,1,633.914834,633.914834
cross_pcode_overlap,one_to_one_redraw_or_recode,ET031122O,Kinfaz,Amhara,ET031122,Kinfaz Begela,Amhara,1782.448683,1,1,1782.448683,1782.448683
cross_pcode_overlap,one_to_one_redraw_or_recode,ET040199O,Nejo Town,Oromia,ET040199,Nejo town,Oromia,26.962371,1,1,26.962371,26.962371
cross_pcode_overlap,one_to_one_redraw_or_recode,ET040401O,Jimma/Town/,Oromia,ET040418,Jimma town,Oromia,91.592975,1,1,91.592975,91.592975
cross_pcode_overlap,one_to_one_redraw_or_recode,ET040799O,Metehara Town,Oromia,ET040799,Metehara town,Oromia,5.696294,1,1,5.696294,5.696294
cross_pcode_overlap,likely_merge_many_old_to_new,ET040894O,Bekoji Town,Oromia,ET040894,Bokoji town,Oromia,4.405847,1,0.126923,4.405847,34.712785
cross_pcode_overlap,likely_merge_many_old_to_new,ET041001O,Haromaya Town,Oromia,ET041019,Maya town,Oromia,5.630867,1,0.015813,5.630867,356.08047
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041107,Lege Hida,Oromia,ET042102,Lege Hida,Oromia,4777.453156,1,1,4777.453156,4777.453164
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041108,Ginir,Oromia,ET042103,Ginir,Oromia,2329.510192,1,0.994591,2329.510192,2342.180041
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041117,Rayitu,Oromia,ET042104,Rayitu,Oromia,5039.453293,1,0.97223,5039.453599,5183.394381
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041121,Dawe Ketchen,Oromia,ET042106,Dawe Ketchen,Oromia,1689.574946,1,1,1689.57497,1689.574946
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041198,Ginir Town,Oromia,ET042107,Ginir town,Oromia,34.831495,1,1,34.831495,34.831495
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041220,Dhas,Oromia,ET042209,Dhas,Oromia,3172.94842,1,0.998825,3172.94842,3176.682546
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041413,Gora Dola,Oromia,ET042205,Gora Dola,Oromia,2361.2496,1,1,2361.2496,2361.2496
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041414O,Negele /Town/,Oromia,ET042201,Negele town,Oromia,8.930036,1,1,8.930036,8.930036
cross_pcode_overlap,one_to_one_redraw_or_recode,ET041700O,Dodola Town,Oromia,ET041700,Dodola town,Oromia,8.248082,1,1,8.248082,8.248082
cross_pcode_overlap,likely_merge_many_old_to_new,ET041798,Bishan Guracha,Oromia,ET041711,Shashemene town,Oromia,45.322218,1,0.095768,45.322219,473.249753
cross_pcode_overlap,likely_merge_many_old_to_new,ET042005O,Sululta Town,Oromia,ET042012,Sululta,Oromia,8.461312,1,0.057137,8.461312,148.087819
cross_pcode_overlap,likely_merge_many_old_to_new,ET042008O,Dukem,Oromia,ET040709,Bishoftu town,Oromia,0.578486,1,0.00113,0.578486,511.978768
cross_pcode_overlap,one_to_one_redraw_or_recode,ET042016,Mulo,Oromia,ET040622,Mulo,Oromia,343.823033,1,1,343.823033,343.823033
cross_pcode_overlap,likely_merge_many_old_to_new,ET042018,Sendafa Town,Oromia,ET040623,Sendafa town,Oromia,4.197919,1,0.029264,4.197919,143.447581
cross_pcode_overlap,one_to_one_redraw_or_recode,ET070101,Kebena,SNNP,ET070001,Kebena Special,Central Ethiopia,235.983063,1,1,235.983063,235.983063
cross_pcode_overlap,one_to_one_redraw_or_recode,ET070109OU049,Gumer,SNNP,ET070109,Gumer,Central Ethiopia,233.163288,1,1,233.163288,233.163288
cross_pcode_overlap,one_to_one_redraw_or_recode,ET070115,Butajira Town,SNNP,ET070401,Butajira town,Central Ethiopia,16.137437,1,1,16.137437,16.137437
cross_pcode_overlap,one_to_one_redraw_or_recode,ET070301,Tembaro,SNNP,ET072601,Tembaro Special,Central Ethiopia,339.645453,1,1,339.645453,339.645453
