geojson_admin3_name,geojson_admin3_code,geojson_admin2_name,geojson_admin1_name,geojson_normalized_name,citypopulation_name,citypopulation_code,citypopulation_status,citypopulation_normalized_name,population_census_2007,population_projection_2022,match_method,match_confidence,match_key,candidate_count
Tahtay Adiyabo,ET010101,North Western,Tigray,tahtayadiyabo,Tahtay Adiyabo,ET010101,District,tahtayadiyabo,90144,108743,admin_code,1,ET010101,1
Laelay Adiabo,ET010102,North Western,Tigray,laelayadiabo,Laelay Adiyabo,ET010102,District,laelayadiyabo,113836,137322,admin_code,1,ET010102,1
Zana,ET010103,North Western,Tigray,zana,Medebay Zana,ET010103,District,medebayzana,125028,152500,admin_code,1,ET010103,1
Tahtay Koraro,ET010104,North Western,Tigray,tahtaykoraro,Tahtay Koraro,ET010104,District,tahtaykoraro,68989,78483,admin_code,1,ET010104,1
Asgede,ET010105,North Western,Tigray,asgede,Asgede Tsimbla,ET010105,District,asgedetsimbla,135621,164146,admin_code,1,ET010105,1
Tselemti,ET010106,North Western,Tigray,tselemti,Tselemti,ET010106,District,tselemti,138858,166395,admin_code,1,ET010106,1
Sheraro town,ET010107,North Western,Tigray,sheraro,Shiraro,ET010107,Town,shiraro,17045,36127,admin_code,1,ET010107,1
Indasilassie town,ET010108,North Western,Tigray,indasilassie,Shire Inda Silase,ET010108,Town,shireindasilase,47284,100079,admin_code,1,ET010108,1
Selekleka,ET010109,North Western,Tigray,selekleka,,,,,,,unmatched,0,selekleka,0
Seyemti Adyabo,ET010110,North Western,Tigray,seyemtiadyabo,,,,,,,unmatched,0,seyemtiadyabo,0
Adi Daero,ET010111,North Western,Tigray,adidaero,,,,,,,unmatched,0,adidaero,0
Adi Hageray,ET010112,North Western,Tigray,adihageray,,,,,,,unmatched,0,adihageray,0
Tsimbla,ET010113,North Western,Tigray,tsimbla,,,,,,,unmatched,0,tsimbla,0
Endabaguna town,ET010114,North Western,Tigray,endabaguna,,,,,,,unmatched,0,endabaguna,0
Dima (TG),ET010115,North Western,Tigray,dima,Dima,ET120205,District,dima,8001,13322,normalized_name,0.85,dima,2
May Tsebri town,ET010116,North Western,Tigray,maytsebri,,,,,,,unmatched,0,maytsebri,0
Chila,ET010201,Central,Tigray,chila,Mereb Lehe,ET010201,District,mereblehe,107218,129706,admin_code,1,ET010201,1
Aheferom,ET010202,Central,Tigray,aheferom,Ahiferom,ET010202,District,ahiferom,173700,220575,admin_code,1,ET010202,1
Edaga arbi,ET010203,Central,Tigray,edagaarbi,Were Lehe,ET010203,District,werelehe,146104,182387,admin_code,1,ET010203,1
Adwa,ET010204,Central,Tigray,adwa,Adwa,ET010204,District,adwa,99711,113438,admin_code,1,ET010204,1
Laelay Maychew,ET010205,Central,Tigray,laelaymaychew,Laelay Maychew,ET010205,District,laelaymaychew,72625,82621,admin_code,1,ET010205,1
Tahtay Mayechew,ET010206,Central,Tigray,tahtaymayechew,Tahtay Maychew,ET010206,District,tahtaymaychew,99122,123736,admin_code,1,ET010206,1
Adet,ET010207,Central,Tigray,adet,Nader Adet,ET010207,District,naderadet,104966,121232,admin_code,1,ET010207,1
Kola Temben,ET010208,Central,Tigray,kolatemben,Kola Temben,ET010208,District,kolatemben,134336,152826,admin_code,1,ET010208,1
