geojson_admin3_code,geojson_admin3_name,geojson_admin2_name,geojson_admin1_name,geojson_normalized_name,citypopulation_parent_code,citypopulation_parent_name,suggested_parent_code,suggested_parent_name,suggested_parent_score,allocation_weight,notes
ET010109,Selekleka,North Western,Tigray,selekleka,,,,,,,
ET010110,Seyemti Adyabo,North Western,Tigray,seyemtiadyabo,,,,,,,
ET010111,Adi Daero,North Western,Tigray,adidaero,,,,,,,
ET010112,Adi Hageray,North Western,Tigray,adihageray,,,,,,,
ET010113,Tsimbla,North Western,Tigray,tsimbla,,,,,,,
ET010114,Endabaguna town,North Western,Tigray,endabaguna,,,,,,,
ET010116,May Tsebri town,North Western,Tigray,maytsebri,,,,,,,
ET010209,Naeder,Central,Tigray,naeder,,,,,,,
ET010214,Rama,Central,Tigray,rama,,,,,,,
ET010215,Ahsea,Central,Tigray,ahsea,,,,,,,
ET010216,Egela,Central,Tigray,egela,,,,,,,
ET010217,Hahayle,Central,Tigray,hahayle,,,,,,,
ET010218,Endafelasi,Central,Tigray,endafelasi,,,,,,,
ET010219,Emba Sieneti,Central,Tigray,embasieneti,,,,,,,
ET010220,Enticho town,Central,Tigray,enticho,,,,,,,
ET010221,Keyhe tekli,Central,Tigray,keyhetekli,,,,,,,
ET010222,Tanqua Melashe,Central,Tigray,tanquamelashe,,,,,,,
ET010310,Bizet,Eastern,Tigray,bizet,,,,,,,
ET010311,Edaga Hamus town,Eastern,Tigray,edagahamus,,,,,,,
ET010312,Hawzen town,Eastern,Tigray,hawzen,,,,,,,
ET010313,Freweyni town,Eastern,Tigray,freweyni,,,,,,,
ET010314,Tsaeda Emba,Eastern,Tigray,tsaedaemba,,,,,,,
ET010315,Atsbi town,Eastern,Tigray,atsbi,,,,,,,
ET010316,Agulae,Eastern,Tigray,agulae,,,,,,,
ET010317,Geraleta,Eastern,Tigray,geraleta,,,,,,,
ET010318,Zala Anbesa town,Eastern,Tigray,zalaanbesa,,,,,,,
ET010401,Selewa,Southern,Tigray,selewa,,,,,,,
ET010403,Neqsege,Southern,Tigray,neqsege,,,,,,,
ET010412,Mekhoni town,Southern,Tigray,mekhoni,,,,,,,
ET010413,Zata,Southern,Tigray,zata,,,,,,,
ET010414,Chercher,Southern,Tigray,chercher,,,,,,,
ET010505,May Kadra,Western,Tigray,maykadra,,,,,,,
ET010506,Dansha town,Western,Tigray,dansha,,,,,,,
ET010508,Korarit,Western,Tigray,korarit,,,,,,,
ET010509,May Gaba,Western,Tigray,maygaba,,,,,,,
ET010605,Hagere Selam town,South Eastern,Tigray,hagereselam,,,,,,,
ET010606,Samre,South Eastern,Tigray,samre,,,,,,,
ET010607,Adigudom,South Eastern,Tigray,adigudom,,,,,,,
ET010608,Wajirat,South Eastern,Tigray,wajirat,,,,,,,
ET020109,Adar,Awsi /Zone 1,Afar,adar,,,,,,,
ET020110,Gerani,Awsi /Zone 1,Afar,gerani,,,,,,,
ET020198,Samera Logiya town,Awsi /Zone 1,Afar,sameralogiya,,,,,,,
ET020208,Bidu,Kilbati /Zone2,Afar,bidu,,,,,,,
ET020209,Abaala town,Kilbati /Zone2,Afar,abaala,,,,,,,
ET020307,Hanruka,Gabi /Zone 3,Afar,hanruka,,,,,,,
ET020396,Awash town,Gabi /Zone 3,Afar,awash,,,,,,,
ET030212,Guna Begemider,South Gondar,Amhara,gunabegemider,,,,,,,
ET030213,Mena Meketewa,South Gondar,Amhara,menameketewa,,,,,,,
ET030214,Sede Muja,South Gondar,Amhara,sedemuja,,,,,,,
ET030215,Nefas Mewicha town,South Gondar,Amhara,nefasmewicha,,,,,,,
